,predicted,real,prob
0,1,1,0.9124647
1,0,0,0.99993783
2,1,1,0.9958917
3,1,1,0.99961853
4,0,0,0.9990263
5,0,0,0.9990674
6,1,1,0.9991534
7,0,0,0.99999094
8,1,1,0.9991573
9,0,0,0.9996397
10,0,0,0.9982686
11,0,0,0.99805564
12,1,1,0.9039016
13,1,0,0.7413746
14,0,0,0.9989517
15,0,0,0.9971849
16,0,0,0.9997704
17,1,1,0.9994272
18,0,0,0.9999948
19,0,0,0.99910605
20,1,1,0.9984707
21,0,0,0.94850194
22,0,0,0.99429643
23,1,1,0.9964244
24,1,1,0.99669623
25,1,1,0.999008
26,0,0,0.999341
27,0,0,0.9998501
28,0,0,0.9999911
29,0,0,0.9953049
30,0,0,0.9993364
31,0,0,0.9999823
32,0,0,0.9997721
33,0,0,0.97421783
34,1,1,0.9992817
35,1,1,0.9828279
36,1,1,0.99952817
37,1,1,0.99952984
38,1,1,0.9990061
39,0,0,0.9934865
40,1,1,0.9465138
41,1,1,0.9987637
42,0,0,0.99999356
43,0,0,0.9992872
44,0,0,0.99591506
45,0,0,0.99973327
46,0,0,0.9968249
47,0,0,0.9966157
48,0,0,0.99929976
49,0,0,0.99974966
50,0,0,0.9993241
51,0,0,0.9999189
52,0,0,0.9998579
53,1,1,0.997948
54,0,0,0.99801016
55,0,0,0.9999537
56,0,0,0.9994396
57,1,1,0.9991351
58,0,0,0.99998796
59,1,1,0.9990395
60,1,1,0.99623364
61,0,0,0.9997515
62,0,0,0.97449535
63,0,0,0.99995506
64,0,0,0.99938506
65,0,0,0.99878573
66,0,0,0.9999525
67,1,1,0.9991543
68,0,0,0.9973985
69,1,1,0.9771589
70,0,0,0.9999761
71,0,0,0.99700165
72,0,0,0.9966188
73,0,0,0.99990904
74,1,1,0.9996475
75,0,0,0.99999344
76,0,0,0.98672587
77,1,1,0.99787295
78,1,1,0.999579
79,0,0,0.999885
80,0,0,0.9956579
81,0,0,0.99443
82,0,0,0.99867564
83,0,0,0.990334
84,0,0,0.9991433
85,0,0,0.99754184
86,0,0,0.99573016
87,0,0,0.9999938
88,0,0,0.9999945
89,0,0,0.9944878
90,0,0,0.87125254
91,0,0,0.99806374
92,0,0,0.99892515
93,0,0,0.99981654
94,0,0,0.9999311
95,0,0,0.9968172
96,1,1,0.9998492
97,1,1,0.82960176
98,1,1,0.9742802
99,0,0,0.99312943
100,1,1,0.98986596
101,0,0,0.9970491
102,1,1,0.8913442
103,0,0,0.99999255
104,1,1,0.99919206
105,0,0,0.9852488
106,0,0,0.9999008
107,0,0,0.9999736
108,0,0,0.9970831
109,0,0,0.9999569
110,0,0,0.9980795
111,0,0,0.9999836
112,0,0,0.9808562
113,0,0,0.9995462
114,0,0,0.9993759
115,0,0,0.9998873
116,1,1,0.99581677
117,1,1,0.9990221
118,1,1,0.6753875
119,1,1,0.99272573
120,0,0,0.9999779
121,0,0,0.9928875
122,1,1,0.9990212
123,1,1,0.99732286
124,0,0,0.99971294
125,0,0,0.9838992
