,predicted,real,prob
0,5,2,0.8527
1,1,1,0.9999
2,0,0,0.9403
3,5,5,0.9984
4,5,5,0.6308
5,2,5,0.6907
6,2,2,0.8455
7,4,4,0.9707
8,5,5,0.8143
9,1,5,0.6566
10,5,5,0.9501
11,2,2,0.947
12,5,5,0.9215
13,2,2,0.9984
14,2,2,0.9712
15,3,3,0.984
16,5,5,0.8802
17,5,1,0.9319
18,3,3,0.9804
19,5,5,0.9459
20,2,2,0.8329
21,5,5,0.9752
22,2,2,0.9928
23,5,5,0.7314
24,4,4,0.8814
25,5,5,0.7193
26,4,4,0.7569
27,2,5,0.9852
28,2,2,0.9002
29,5,5,0.9219
30,5,4,0.7653
31,5,5,0.9852
32,5,0,0.7639
33,5,2,0.7322
34,2,2,0.9023
35,2,2,0.9991
36,2,2,0.7202
37,2,2,0.9751
38,2,2,0.9899
39,5,5,0.8464
40,2,2,0.8683
41,2,2,0.8065
42,3,3,0.9977
43,5,5,0.9404
44,5,5,0.8068
45,2,2,0.9836
46,2,2,0.7926
47,3,3,0.7437
48,2,2,0.9996
49,5,1,0.4515
50,2,5,0.8252
51,5,5,0.9739
52,5,5,0.8099
53,5,5,0.884
54,4,4,0.9961
55,2,2,0.9986
56,3,3,0.948
57,4,4,0.9807
58,5,5,0.9
59,2,2,0.9027
60,2,2,0.9423
61,5,5,0.2967
62,2,5,0.6607
63,2,2,0.5854
64,2,2,0.8015
65,5,5,0.9758
66,3,3,0.9834
67,2,2,0.9874
68,5,4,0.4745
69,2,2,0.965
70,2,2,0.9882
71,5,2,0.7181
72,4,4,0.8196
73,1,1,0.9987
74,5,5,0.8782
75,5,5,0.9988
76,2,2,0.9836
77,5,5,0.8438
78,2,2,0.7792
79,2,5,0.7314
80,5,5,0.871
81,2,5,0.6876
82,2,2,0.9839
83,3,3,0.9982
84,2,5,0.4187
85,5,5,0.8212
86,5,0,0.4519
87,2,2,0.7553
88,5,2,0.63
89,2,5,0.6905
90,2,2,0.9997
91,2,2,0.9207
92,5,0,0.87
93,2,2,0.6925
94,2,5,0.7743
95,5,5,0.9975
96,2,5,0.6482
97,4,4,0.9668
98,2,2,0.8661
99,2,2,0.9929
100,5,5,0.6718
101,2,2,0.4493
102,5,5,0.7867
103,2,2,0.9818
104,2,2,0.8802
105,3,3,0.9573
106,2,2,0.5964
107,5,5,0.9349
108,4,4,0.7343
109,5,2,0.7204
110,5,5,0.9969
111,4,4,0.977
112,5,5,0.5675
113,2,2,0.6354
114,4,4,0.9305
115,2,4,0.9807
116,2,2,0.9842
117,5,5,0.9457
118,4,4,0.8496
119,5,2,0.9344
120,2,2,0.9713
121,2,5,0.344
122,2,5,0.9248
123,2,2,0.9977
124,2,2,0.966
125,5,5,0.9252
126,2,2,0.5591
127,2,2,0.9915
128,5,5,0.8679
129,2,2,0.8539
130,5,0,0.9411
131,3,3,0.9968
132,5,5,0.9973
133,0,0,0.9196
134,1,1,0.9967
135,1,1,0.9999
136,0,0,0.8549
137,5,5,0.9999
138,2,5,0.5648
139,5,5,0.9815
140,5,5,0.9318
141,5,5,0.4463
142,4,4,0.9855
143,5,5,0.7622
144,2,2,0.9435
145,5,5,0.6219
146,2,2,0.3799
147,5,5,0.2358
148,2,2,0.99
149,5,5,0.977
150,2,2,0.8093
151,2,0,0.3691
152,0,0,0.9482
153,5,5,0.8905
154,1,1,0.999
155,2,2,0.5533
156,5,5,0.9508
157,2,2,0.9884
158,5,5,0.9937
159,5,4,0.4599
160,2,2,0.8888
161,2,5,0.7842
162,2,2,0.8731
163,2,2,0.9971
164,5,0,0.8895
165,2,2,0.9318
166,0,5,0.5064
167,5,5,0.9737
168,5,2,0.805
169,4,4,0.9706
170,0,0,0.7484
171,2,2,0.5673
172,5,5,0.9553
173,5,5,0.8744
174,5,5,0.9616
175,1,1,0.9999
176,5,5,0.8961
177,1,1,0.9999
178,1,1,0.9998
179,2,5,0.706
180,5,5,0.9541
181,2,3,0.5536
182,5,2,0.7154
183,2,2,0.9877
184,2,2,0.9527
185,5,5,0.9814
186,2,5,0.6362
187,5,5,0.9823
188,2,2,0.9904
189,5,5,0.6167
190,0,0,0.9468
191,5,5,0.9765
192,2,2,0.4603
193,5,5,0.9773
194,5,1,0.3281
195,5,0,0.8754
196,3,3,0.9831
197,5,5,0.5044
198,2,2,0.9966
199,1,1,0.9996
200,5,5,0.931
201,1,1,0.9818
202,2,2,0.9952
203,5,5,0.7579
204,5,5,0.8808
205,1,0,0.667
206,5,5,0.7715
207,0,0,0.7532
208,4,4,0.9918
209,5,5,0.9454
210,5,5,0.659
211,2,2,0.7992
212,5,5,0.7989
213,2,2,0.5741
214,5,5,0.9948
215,2,2,0.7807
216,5,5,0.9985
217,0,0,0.5701
218,2,2,0.9952
219,2,2,0.9458
220,5,4,0.9006
221,4,5,0.9281
222,5,5,0.6007
223,5,5,0.8546
224,2,1,0.8683
225,2,0,0.6462
226,5,2,0.6219
227,1,5,0.467
228,2,1,0.6655
229,2,2,0.9786
230,2,2,0.9781
231,1,1,0.9999
232,4,4,0.9872
233,2,2,0.88
234,5,5,0.9847
235,5,5,0.6124
236,2,2,0.531
237,2,2,0.9265
238,2,2,0.9903
239,2,1,0.8363
240,1,1,0.9999
