,predicted,real,prob
0,8,8,0.9409
1,18,18,0.9999
2,7,17,0.919
3,19,19,0.9998
4,17,17,0.9894
5,7,7,0.985
6,19,19,0.9023
7,11,11,0.9544
8,7,7,0.7692
9,19,19,0.8543
10,10,10,0.9531
11,7,5,0.5086
12,10,10,0.9897
13,8,8,0.9399
14,7,7,0.9782
15,5,5,0.9989
16,16,16,0.9869
17,18,18,0.9969
18,14,14,0.9404
19,7,7,0.8017
20,19,19,0.9564
21,18,18,0.9998
22,16,16,0.9988
23,10,10,0.9986
24,10,10,0.7318
25,7,7,0.802
26,7,5,0.6732
27,5,5,0.996
28,17,7,0.8412
29,18,18,1.0
30,19,19,0.483
31,17,17,0.9986
32,17,7,0.7765
33,7,7,0.5528
34,7,19,0.5878
35,5,5,0.9999
36,19,19,0.9067
37,19,10,0.9021
38,8,8,0.9779
39,18,19,0.5548
40,11,11,0.9969
41,15,15,0.883
42,17,17,0.9913
43,10,10,0.8819
44,15,15,0.9952
45,19,19,0.6196
46,16,16,0.531
47,16,16,0.9945
48,7,17,0.946
49,7,7,0.7608
50,5,5,0.9998
51,19,10,0.9698
52,7,7,0.8714
53,8,8,0.735
54,7,7,0.5248
55,7,7,0.9359
56,8,8,0.98
57,10,19,0.9616
58,8,8,0.8336
59,18,18,0.8638
60,15,15,0.9321
61,8,8,0.9924
62,7,18,0.3085
63,7,17,0.9407
64,16,16,0.983
65,10,10,0.8433
66,16,16,0.949
67,10,10,0.9452
68,18,18,0.7566
69,10,10,0.999
70,7,7,0.6004
71,14,14,0.819
72,8,8,0.9956
73,10,19,0.8088
74,18,18,0.9887
75,16,16,0.9835
76,19,19,0.9187
77,19,19,0.9852
78,7,7,0.9172
79,17,7,0.5661
80,17,7,0.5646
81,7,5,0.8812
82,8,8,0.9747
83,10,10,0.8828
84,7,7,0.9188
85,7,17,0.6402
86,10,19,0.6748
87,17,17,0.9332
88,15,15,0.9173
89,7,7,0.3945
90,7,7,0.7465
91,5,5,0.9991
92,10,19,0.8664
93,19,19,0.9974
94,7,7,0.9135
95,8,8,0.997
96,7,7,0.941
97,18,18,0.9619
98,8,8,0.986
99,16,11,0.3833
100,7,7,0.8458
101,7,7,0.9795
102,7,7,0.7361
103,10,19,0.838
104,19,19,0.9469
105,19,19,0.4376
106,14,14,0.9825
107,7,7,0.861
108,17,7,0.7241
109,19,19,0.5468
110,4,4,0.7484
111,18,7,0.6043
112,3,1,0.6064
113,5,7,0.682
114,11,11,0.9964
115,4,4,0.9688
116,17,17,0.9903
117,17,5,0.577
118,7,7,0.6195
119,17,17,0.9971
120,7,7,0.9313
121,19,5,0.7805
122,11,11,0.9769
123,10,10,0.5914
124,12,8,0.8131
125,6,17,0.769
126,8,8,0.9498
127,7,7,0.6656
128,7,7,0.9846
129,16,18,0.5243
130,10,10,0.8022
131,13,13,0.983
132,7,17,0.9566
133,7,7,0.8798
134,19,19,0.9957
135,19,19,0.9932
136,7,17,0.6146
137,7,7,0.7407
138,4,4,0.9831
139,5,5,0.9998
140,7,19,0.5604
141,7,17,0.7411
142,19,10,0.9912
143,8,8,0.9767
144,19,19,0.7395
145,19,19,0.9937
146,15,15,0.7481
147,16,18,0.9132
148,19,10,0.9294
149,0,2,0.9254
150,19,19,0.9917
151,10,10,0.9926
152,7,2,0.9443
153,17,7,0.4112
154,11,11,0.9989
155,7,7,0.998
156,7,17,0.6106
157,17,17,0.5197
158,7,7,0.982
159,19,19,0.8699
160,19,10,0.499
161,11,11,0.6706
162,19,10,0.9864
163,7,7,0.755
164,8,8,0.998
165,7,7,0.9769
166,8,8,0.9873
167,19,19,0.9598
168,7,16,0.171
169,18,18,0.9987
170,7,7,0.8157
171,7,7,0.9554
172,15,15,0.9864
173,7,7,0.8821
174,5,7,0.7649
175,5,5,0.999
176,4,4,0.9626
177,16,16,0.9979
178,8,8,0.8968
179,10,10,0.8987
180,7,5,0.9191
181,11,11,0.9902
182,7,16,0.1682
183,18,7,0.4334
184,8,8,0.9948
185,7,5,0.7753
186,16,16,0.9944
187,19,2,0.7951
188,5,7,0.8315
189,7,16,0.8833
190,8,8,0.9611
191,10,10,0.9669
192,18,16,0.9207
193,18,18,0.9998
194,8,8,0.9684
195,10,19,0.7822
196,16,16,0.7031
197,8,5,0.2143
198,7,7,0.7328
199,8,8,0.7354
200,16,16,0.985
201,8,8,0.9922
202,7,7,0.766
203,10,10,0.8268
204,16,16,0.6948
205,4,4,0.9905
206,8,8,0.997
207,18,18,0.9942
208,19,19,0.9911
209,17,17,0.9991
210,17,17,0.9995
211,8,8,0.9921
212,7,7,0.6851
213,5,5,1.0
214,7,17,0.8829
215,5,5,0.9939
216,16,16,0.6684
217,10,10,0.8695
218,8,8,0.8003
219,4,4,0.9728
220,7,16,0.1526
221,18,16,0.2789
222,14,14,0.9961
223,1,1,0.7095
224,8,8,0.9894
225,10,19,0.8825
226,16,16,0.9984
227,7,7,0.9971
228,18,17,0.3437
229,5,5,1.0
230,19,19,0.9991
231,13,18,0.8718
232,19,19,0.9604
233,10,10,0.9999
234,10,10,0.9897
235,16,16,0.9898
236,7,11,0.5047
237,11,11,0.9941
238,19,19,0.3159
239,7,5,0.6247
240,11,13,0.9762
241,7,7,0.978
242,18,10,0.2009
243,18,18,0.9734
244,17,17,0.6858
245,7,7,0.5416
246,7,5,0.8838
247,16,16,0.9951
248,10,10,0.9385
249,7,7,0.6103
250,13,5,0.3257
251,8,8,0.8634
252,7,7,0.9567
253,8,8,0.9913
254,7,7,0.7897
255,8,8,0.9822
256,15,16,0.1681
257,8,8,0.7595
258,4,4,0.9946
259,15,15,0.999
260,5,5,0.7669
261,19,19,0.9907
262,8,8,0.9661
263,16,16,0.7195
264,8,8,0.9898
265,15,15,0.9852
266,7,7,0.9908
267,10,19,0.6626
268,14,14,0.5589
269,7,16,0.5632
270,18,18,0.9697
271,17,17,0.9998
272,7,7,0.875
273,19,19,0.9943
274,17,17,0.4932
275,13,13,0.8937
276,7,4,0.895
277,18,18,0.9898
278,19,19,0.8779
279,18,18,0.9978
280,18,18,0.989
281,7,7,0.8571
282,8,16,0.6598
283,7,7,0.6244
284,7,7,0.8972
285,7,7,0.9735
286,16,16,0.8329
287,10,10,0.9398
288,16,18,0.4948
289,8,8,0.9935
290,7,7,0.9766
291,5,5,0.9993
292,8,8,0.8995
293,13,14,0.3957
294,5,19,0.3833
295,7,7,0.912
296,5,5,1.0
297,12,13,0.8246
298,4,4,0.984
299,19,19,0.9836
300,16,11,0.7809
301,8,8,0.9716
302,6,6,0.4645
303,10,10,0.8158
304,10,10,0.9999
305,8,8,0.9298
306,8,8,0.7537
307,11,11,0.4382
308,4,4,0.9484
309,8,8,0.9824
310,15,15,0.9965
311,17,17,0.4757
312,18,18,0.9898
313,7,7,0.4579
314,17,7,0.7248
315,10,10,0.9595
316,12,12,0.9481
317,19,19,0.9545
318,19,19,0.8978
319,8,8,0.9696
320,10,10,0.9999
321,7,18,0.2758
322,18,18,0.8738
323,7,16,0.3918
324,10,10,0.9827
325,18,18,0.94
326,17,17,0.266
327,10,10,0.9572
328,7,11,0.1484
329,15,15,0.9912
330,7,7,0.9912
331,7,17,0.7306
332,5,5,0.8886
333,10,10,0.9994
334,7,7,0.4147
335,19,19,0.9827
336,19,19,0.9853
337,19,19,0.9349
338,7,7,0.9334
339,17,17,0.7844
340,8,8,0.9504
341,18,18,0.9996
342,16,16,0.9917
343,17,17,0.9828
344,15,15,0.9913
345,7,7,0.9977
346,8,8,0.9956
347,15,15,0.9962
348,8,13,0.9293
349,7,7,0.8142
350,15,15,0.9979
351,10,10,0.9483
352,5,5,0.9983
353,14,14,0.2618
354,19,10,0.7759
355,10,10,0.9789
356,10,10,0.8404
357,19,10,0.9936
358,10,19,0.8763
359,16,18,0.9496
360,8,8,0.9984
361,15,13,0.2622
362,16,7,0.8245
363,19,19,0.9479
364,7,7,0.4561
365,7,17,0.5735
366,17,17,0.9266
367,5,7,0.7394
368,14,13,0.7284
369,11,11,0.9738
370,7,16,0.6816
371,7,7,0.9682
372,7,16,0.3122
373,5,5,0.9998
374,11,11,0.4262
375,15,15,0.9769
376,7,7,0.6521
377,15,15,0.9831
378,8,8,0.992
379,8,8,0.8036
380,18,18,0.9999
381,19,3,0.2094
382,14,14,0.611
383,19,19,0.7264
384,8,8,0.6408
385,5,7,0.4528
386,18,18,0.9998
387,19,19,0.9869
388,11,11,0.6049
389,8,8,0.9947
390,17,7,0.8947
391,8,8,0.9967
392,15,15,0.9994
393,7,18,0.6206
394,10,10,0.949
395,19,19,0.9011
396,7,7,0.8882
397,16,2,0.6105
398,19,19,0.9886
399,13,14,0.5771
400,15,15,0.998
401,8,8,0.9952
402,10,10,0.9999
403,8,8,0.9955
404,7,7,0.8078
405,4,7,0.4227
406,5,5,0.9996
407,7,7,0.4364
408,18,18,0.9992
409,19,10,0.8983
410,7,18,0.3632
411,10,19,0.5503
412,2,1,0.5297
413,17,7,0.7311
414,5,5,0.9997
415,7,7,0.9765
416,19,19,0.9958
417,5,5,0.9999
418,11,11,0.9978
419,17,17,0.99
420,11,12,0.5259
421,10,10,0.9744
422,19,19,0.963
423,19,19,0.9911
424,17,17,0.9955
425,16,16,0.407
426,19,19,0.9536
427,7,7,0.827
428,17,7,0.7156
429,17,17,0.9997
430,7,7,0.981
431,8,8,0.9962
432,8,8,0.9984
433,17,5,0.3922
434,7,7,0.9385
435,5,5,0.9997
436,18,18,0.9885
437,19,19,0.9822
438,17,7,0.8772
439,7,17,0.8611
440,18,18,0.9996
441,7,7,0.6331
442,18,18,0.8616
443,17,17,0.8388
444,5,5,0.9996
445,18,18,0.9517
446,8,8,0.993
447,18,14,0.2434
448,8,8,0.9968
449,8,8,0.9843
450,19,19,0.9988
451,7,7,0.8985
452,1,1,0.7632
453,8,8,0.9984
454,8,8,0.9977
455,7,16,0.4375
456,8,8,0.9989
457,10,19,0.8624
458,12,12,0.9846
459,8,8,0.9995
460,8,7,0.9672
461,7,18,0.5013
462,19,10,0.9336
463,11,11,0.4793
464,18,18,0.9999
465,6,1,0.787
466,19,19,0.8402
467,10,10,0.9979
468,10,10,0.8672
469,7,4,0.3547
470,11,11,0.997
471,19,19,0.9605
472,15,15,0.8937
473,7,7,0.9239
474,16,16,0.9203
475,7,7,0.9096
476,17,16,0.6651
477,16,16,0.8649
478,18,11,0.7857
479,18,18,0.9866
480,16,16,0.4965
481,5,5,0.9985
482,11,11,0.6621
483,17,17,0.9759
484,8,8,0.9773
485,19,1,0.7972
486,19,19,0.9684
487,10,10,0.9999
488,17,7,0.871
489,10,10,0.9985
490,17,17,0.9996
491,14,14,0.9919
492,8,8,0.9891
493,18,18,0.9334
494,14,14,0.9965
495,17,17,0.6133
496,5,5,0.9998
497,5,5,0.9999
498,10,10,0.9624
499,17,7,0.1895
500,7,7,0.9957
501,5,5,0.9996
502,10,10,0.8368
503,11,11,0.9247
504,4,4,0.8748
505,10,10,0.9995
506,6,6,0.9713
507,7,7,0.7312
508,8,15,0.5288
509,4,4,0.8831
510,18,18,0.9998
511,5,17,0.0612
512,5,5,0.9257
513,11,11,0.9831
514,10,10,0.7982
515,5,5,0.9999
516,15,15,0.9462
517,7,7,0.2745
518,17,17,0.8684
519,19,19,0.8922
520,7,17,0.7331
521,18,18,0.9996
522,7,7,0.9965
523,16,18,0.7027
524,17,17,0.9988
525,7,7,0.7636
526,8,8,0.9397
527,10,10,0.9825
528,19,19,0.9703
529,18,16,0.664
530,5,5,0.9998
531,14,14,0.9904
532,7,7,0.3237
533,18,16,0.7923
534,11,11,0.9901
535,5,5,0.999
536,7,7,0.971
537,4,4,0.9395
538,3,9,0.4718
539,5,5,0.9999
540,16,16,0.9355
541,7,5,0.273
542,7,7,0.9315
543,19,19,0.9313
544,7,7,0.9997
545,10,10,0.9348
546,11,11,0.9942
547,7,7,0.835
548,10,10,0.9987
549,10,10,0.9979
550,8,8,0.995
551,7,7,0.9403
552,18,16,0.6876
553,7,14,0.0691
554,19,19,0.9869
555,1,13,0.4196
556,18,4,0.1667
557,10,10,0.8279
558,15,15,0.998
559,19,19,0.9993
560,8,8,0.9975
561,7,7,0.8089
562,17,17,0.9673
563,15,15,0.9893
564,19,19,0.8939
565,18,16,0.9391
566,7,7,0.8856
567,8,8,0.9969
568,18,18,0.9629
569,7,18,0.7933
570,15,15,0.9993
571,16,18,0.7395
572,8,8,0.9956
573,5,5,1.0
574,16,11,0.9168
575,19,19,0.9321
576,7,17,0.8397
577,12,8,0.9439
578,7,7,0.9056
579,7,7,0.916
580,13,13,0.956
581,8,8,0.9947
582,8,8,0.9592
583,16,16,0.9955
584,19,19,0.9007
585,16,16,0.9937
586,8,13,0.8379
587,16,16,0.9961
588,8,8,0.9713
589,19,19,0.6546
590,18,18,0.9903
591,5,5,0.9998
592,19,10,0.1621
593,8,8,0.8642
594,17,7,0.5949
595,15,15,0.9856
596,18,16,0.8217
597,16,9,0.9225
598,8,8,0.8892
599,16,16,0.9933
600,15,15,0.9641
601,10,19,0.9279
602,17,7,0.3563
603,7,7,0.5655
604,13,13,0.7856
605,17,17,0.9659
606,17,17,0.9962
607,10,10,0.8535
608,17,19,0.5902
609,18,18,0.9982
610,17,7,0.8567
611,15,15,0.9934
612,11,11,0.9923
613,17,17,0.9952
614,5,5,0.7709
615,4,4,0.9877
616,10,7,0.3505
617,10,10,0.9892
618,7,7,0.9793
619,16,16,0.9818
620,18,18,0.9999
621,5,5,0.9882
622,19,19,0.9053
623,7,7,0.9773
624,16,18,0.7308
625,0,17,0.7259
626,16,16,0.6905
627,7,7,0.9989
628,8,8,0.9905
629,4,7,0.4247
630,16,16,0.5464
631,8,8,0.9885
632,10,10,0.9884
633,17,17,0.9996
634,14,12,0.7781
635,19,19,0.9903
636,19,10,0.9369
637,5,5,0.2918
638,5,5,0.9995
639,8,8,0.9707
640,18,18,0.9849
641,7,7,0.4607
642,11,11,0.9965
643,19,16,0.9068
644,19,19,0.9541
645,7,7,0.901
646,10,10,0.9996
647,19,10,0.9882
648,19,19,0.962
649,16,16,0.8683
650,18,18,0.9988
651,14,14,0.9804
652,19,4,0.9398
653,16,18,0.7098
654,19,10,0.6391
655,19,19,0.983
656,8,7,0.3519
657,16,16,0.9988
658,15,15,0.9897
659,8,8,0.9919
660,10,10,0.9908
661,15,15,0.9904
662,13,12,0.4926
663,17,17,0.9991
664,19,19,0.9623
665,5,5,0.9994
666,17,17,0.9996
667,7,17,0.6068
668,8,8,0.9978
669,8,11,0.2178
670,19,19,0.9737
671,7,7,0.9138
672,8,8,0.9956
673,16,16,0.9114
674,16,16,0.9769
675,19,19,0.9403
676,17,16,0.2675
677,17,17,0.999
678,7,7,0.9788
679,7,7,0.7423
680,12,12,0.8882
681,16,16,0.9945
682,10,10,0.9714
683,7,5,0.4908
684,16,16,0.855
685,8,8,0.9932
686,7,7,0.8997
687,10,10,0.9801
688,8,8,0.9996
689,19,19,0.9667
690,19,10,0.5955
691,17,17,0.6448
692,16,1,0.6627
693,19,19,0.9446
694,16,16,0.9866
695,10,19,0.8234
696,7,7,0.9453
697,18,18,0.9933
698,7,7,0.9432
699,17,17,0.9003
700,11,11,0.9993
701,15,15,0.9935
702,7,18,0.6734
703,10,10,0.7175
704,18,18,0.9944
705,18,18,0.9999
706,7,7,0.8438
707,7,17,0.7284
708,17,17,0.673
709,17,17,0.9941
710,17,17,0.9141
711,11,11,0.2182
712,18,16,0.6959
713,7,7,0.911
714,15,15,0.9998
715,19,19,0.9588
716,16,16,0.7506
717,7,7,0.7988
718,16,16,0.9793
719,19,19,0.9902
720,19,19,0.8379
721,7,7,0.9892
722,19,19,0.8965
723,5,5,0.9795
724,8,8,0.9998
725,10,10,0.9725
726,8,8,0.9993
727,8,12,0.4113
728,16,17,0.7439
729,8,8,0.9921
730,10,10,0.9982
731,19,19,0.902
732,19,19,0.96
733,18,18,0.9751
734,7,7,0.8414
735,11,11,0.7604
736,9,9,0.9979
737,12,13,0.2809
738,7,7,0.678
739,19,19,0.991
740,5,5,1.0
741,19,19,1.0
742,4,4,0.8665
743,12,10,0.515
744,8,8,0.9958
745,14,14,0.9828
746,8,8,0.724
747,19,19,0.9783
748,10,10,0.9983
749,16,16,0.993
750,7,7,0.9844
751,7,7,0.7157
752,18,18,0.591
753,18,11,0.3015
754,8,8,0.9601
755,19,10,0.7475
756,10,10,0.619
757,18,18,0.8742
758,19,19,0.7702
759,8,8,0.9997
760,16,16,0.3734
761,19,19,0.9909
762,8,8,0.9938
763,11,11,0.6144
764,8,10,0.902
765,7,7,0.8742
766,18,18,0.9637
767,18,18,0.9507
768,7,7,0.9745
769,8,8,0.9962
770,11,12,0.7243
771,7,4,0.8784
772,19,19,0.4887
773,12,12,0.5952
774,8,8,0.7395
775,10,19,0.3722
776,18,18,0.999
777,10,10,0.6881
778,4,4,0.9805
779,15,15,0.9793
780,8,8,0.9791
781,16,16,0.8202
782,17,7,0.7863
783,19,10,0.4355
784,17,17,0.9977
785,8,8,0.9953
786,18,18,0.9911
787,8,8,0.9955
788,10,10,0.9994
789,7,7,0.4979
790,15,15,0.9907
791,8,8,0.996
792,8,8,0.8663
793,12,12,0.9753
794,7,5,0.4392
795,12,12,0.9772
796,7,5,0.7126
797,7,0,0.969
798,7,17,0.6977
799,15,15,0.5812
800,7,7,0.9368
801,13,11,0.7243
802,8,8,0.9818
803,14,12,0.8834
804,19,5,0.3821
805,18,18,0.9496
806,7,7,0.7902
807,10,10,0.9891
808,19,19,0.6754
809,19,19,0.9535
810,8,8,0.85
811,7,7,0.9356
812,19,19,0.8931
813,10,19,0.8697
814,7,7,0.4391
815,19,19,0.921
816,7,7,0.9882
817,4,7,0.3529
818,15,15,0.9961
819,10,10,0.9917
820,8,8,0.9451
821,15,15,0.7708
822,8,8,0.9941
823,11,11,0.9722
824,7,7,0.9927
825,8,7,0.5708
826,17,17,0.9493
827,17,17,0.9779
828,7,7,0.9688
829,17,17,0.8252
830,16,18,0.7517
831,17,7,0.837
832,10,10,0.9998
833,7,5,0.7734
834,7,17,0.8194
835,16,16,0.8299
836,8,8,0.9392
837,4,4,0.8658
838,7,7,0.8748
839,15,15,0.9896
840,17,17,0.9988
841,14,14,0.9969
842,7,7,0.8749
843,5,5,0.9999
844,18,18,0.9971
845,12,12,0.8244
846,5,19,0.6259
847,8,8,0.9837
848,7,17,0.9764
849,8,8,0.9581
850,16,7,0.7613
851,14,14,0.997
852,18,16,0.6772
853,14,14,0.999
854,16,18,0.6467
855,10,10,0.9723
856,10,10,0.9999
857,7,7,0.9714
858,10,10,0.9831
859,10,19,0.6938
860,7,7,0.7932
861,16,16,0.42
862,16,16,0.9618
863,19,19,0.8639
864,10,10,0.9987
865,16,18,0.9354
866,19,16,0.3655
867,8,8,0.9992
868,17,17,0.816
869,12,16,0.4199
870,8,8,0.9991
871,5,5,0.9839
872,19,19,0.7875
873,7,7,0.7601
874,18,18,0.9988
875,7,7,0.8519
876,7,7,0.8601
877,19,19,0.9557
878,7,7,0.9853
879,7,19,0.2982
880,15,15,0.9786
881,17,7,0.6997
882,8,8,0.8982
883,7,7,0.732
884,17,17,0.9992
885,10,10,0.9664
886,10,10,0.9961
887,13,13,0.997
888,17,17,0.3962
889,17,17,0.9963
890,8,8,0.9964
891,16,16,0.9878
892,19,19,0.9475
893,17,17,0.622
894,10,19,0.7466
895,8,8,0.9022
896,18,18,0.9907
897,7,7,0.9951
898,19,10,0.9432
899,5,5,1.0
900,7,7,0.5288
901,4,5,0.9525
902,14,14,0.9867
903,8,8,0.5493
904,15,15,0.9974
905,10,19,0.8155
906,7,7,0.7973
907,5,5,1.0
908,19,19,0.9404
909,13,16,0.7588
910,17,17,0.9897
911,7,17,0.8315
912,8,8,0.9631
913,8,8,0.9914
914,19,19,0.8533
915,19,17,0.9602
916,7,7,0.977
917,8,8,0.7491
918,7,7,0.8422
919,10,10,0.9999
920,17,18,0.8556
921,7,17,0.6286
922,8,8,0.9541
923,8,8,0.9634
924,19,19,0.7534
925,7,7,0.8002
926,17,17,0.5046
927,19,19,0.8651
928,7,5,0.7583
929,10,10,0.8717
930,16,16,0.9555
931,7,7,0.8835
932,10,10,0.9063
933,1,10,0.4186
934,11,11,0.9974
935,7,7,0.972
936,19,19,0.9636
937,5,5,1.0
938,11,11,0.996
939,10,10,0.9997
940,11,11,0.6922
941,15,19,0.5613
942,15,15,0.9951
943,7,7,0.8933
944,8,8,0.9541
945,8,8,0.9329
946,7,7,0.9603
947,7,17,0.7755
948,18,18,0.9866
949,16,16,0.9897
950,18,18,0.7599
951,7,11,0.3609
952,19,19,0.9729
953,19,17,0.796
954,6,6,0.7851
955,15,15,0.9834
956,1,7,0.608
957,16,16,0.6534
958,19,10,0.9656
959,17,17,0.9982
960,8,8,0.9353
961,19,10,0.9841
962,7,17,0.9007
963,17,7,0.9857
964,7,7,0.8039
965,17,17,0.9999
966,15,15,0.9758
967,10,10,0.9822
968,8,8,0.9799
969,19,19,0.9766
970,8,8,0.9075
971,16,18,0.2814
972,11,11,0.9176
973,19,19,0.9957
974,15,15,0.9996
975,7,7,0.9339
976,14,14,0.9886
977,7,7,0.5625
978,17,17,0.9816
979,19,19,0.9807
980,7,17,0.7633
981,17,7,0.6743
982,8,8,0.7835
983,7,11,0.3797
984,8,8,0.9978
985,10,10,0.9953
986,14,14,0.9981
987,14,14,0.4551
988,17,17,0.9996
989,7,7,0.9742
990,7,5,0.4627
991,19,19,0.9731
992,19,5,0.8385
993,17,17,0.9884
994,8,11,0.7666
995,16,9,0.5092
996,15,15,0.9987
997,18,18,0.9987
998,7,7,0.8123
999,17,17,0.9907
1000,7,16,0.5858
1001,7,18,0.5006
1002,7,7,0.7726
1003,17,17,0.9977
1004,16,16,0.8541
1005,10,10,0.8636
1006,19,19,0.9898
1007,19,19,0.988
1008,7,7,0.7301
1009,7,7,0.8827
1010,10,10,0.8851
1011,7,11,0.9053
1012,15,16,0.5911
1013,6,1,0.4005
1014,16,16,0.9084
1015,15,15,0.9997
1016,6,6,0.5146
1017,16,16,0.854
1018,18,18,0.9977
1019,7,8,0.6504
1020,17,17,0.9987
1021,5,7,0.3794
1022,5,7,0.3883
1023,16,7,0.6645
1024,10,10,0.588
1025,7,7,0.9777
1026,7,7,0.9894
1027,17,17,0.9304
1028,19,19,0.9907
1029,4,4,0.9422
1030,11,12,0.513
1031,19,3,0.8307
1032,16,16,0.997
1033,18,18,0.2404
1034,18,18,0.6451
1035,8,8,0.9867
1036,7,7,0.9983
1037,16,18,0.7394
1038,19,19,0.9221
1039,8,8,0.9744
1040,7,18,0.8873
1041,16,18,0.7364
1042,7,7,0.7991
1043,8,8,0.9165
1044,8,8,0.9712
1045,16,9,0.526
1046,3,2,0.9466
1047,8,5,0.8788
1048,10,10,0.9942
1049,15,15,0.9885
1050,10,10,0.1956
1051,15,13,0.5376
1052,10,10,0.9997
1053,10,10,0.9471
1054,17,17,0.7957
1055,8,8,0.982
1056,14,14,0.995
1057,16,16,0.7139
1058,7,7,0.8095
1059,16,16,0.8533
1060,7,10,0.43
1061,12,12,0.9349
1062,19,19,0.65
1063,8,8,0.9854
1064,16,16,0.8905
1065,5,5,0.8834
1066,19,19,0.9578
1067,10,10,0.9998
1068,7,7,0.7263
1069,10,10,0.8948
1070,18,18,0.9922
1071,18,16,0.5206
1072,19,4,0.4626
1073,7,7,0.8856
1074,7,5,0.7467
1075,7,7,0.5051
1076,19,7,0.6026
1077,18,16,0.8202
1078,14,18,0.8642
1079,5,19,0.3503
1080,7,7,0.8775
1081,19,19,0.8537
1082,17,17,0.9946
1083,18,18,0.9907
1084,10,10,0.9994
1085,18,18,0.1845
1086,7,17,0.6998
1087,5,5,0.9999
1088,17,17,0.9993
1089,7,7,0.8965
1090,5,5,0.9995
1091,16,16,0.5682
1092,7,7,0.5873
1093,7,7,0.9368
1094,10,10,0.8356
1095,10,10,0.979
1096,7,18,0.3474
1097,7,7,0.7128
1098,8,8,0.9714
1099,16,16,0.984
1100,16,16,0.9535
1101,15,15,0.9967
1102,19,19,0.994
1103,10,19,0.9404
1104,19,19,0.9091
1105,13,13,0.9519
1106,17,17,0.9709
1107,7,7,0.9925
1108,7,7,0.9369
1109,8,8,0.9749
1110,19,19,0.8052
1111,16,16,0.8347
1112,15,15,0.9915
1113,8,8,0.9972
1114,3,19,0.3516
1115,7,7,0.7296
1116,11,11,0.8375
1117,7,7,0.88
1118,19,19,0.7493
1119,10,10,0.9998
1120,18,18,0.9999
1121,7,17,0.5108
1122,18,18,0.9637
1123,18,18,0.9998
1124,10,10,0.9609
1125,8,8,0.9529
1126,17,17,0.994
1127,8,8,0.9881
1128,18,18,0.999
1129,10,10,0.9978
1130,19,10,0.5955
1131,15,15,0.5971
1132,19,19,0.7362
1133,16,16,0.9806
1134,8,8,0.9997
1135,7,7,0.894
1136,7,7,0.9702
1137,8,8,0.9776
1138,17,17,0.4464
1139,17,17,0.7423
1140,19,19,0.588
1141,18,18,0.9997
1142,11,11,0.9977
1143,10,10,0.9559
1144,7,5,0.7679
1145,18,18,0.9978
1146,18,18,0.9816
1147,19,19,0.9363
1148,16,16,0.6738
1149,16,16,0.8838
1150,7,7,0.8976
1151,7,7,0.7555
1152,7,7,0.8305
1153,19,19,0.7955
1154,14,14,0.9567
1155,8,8,0.9798
1156,7,4,0.9823
1157,8,8,0.9343
1158,7,7,0.9733
1159,18,18,0.9955
1160,18,18,0.9852
1161,18,18,0.9997
1162,8,8,0.9942
1163,10,19,0.8934
1164,10,19,0.8157
1165,18,18,0.9987
1166,8,8,0.9672
1167,7,7,0.8763
1168,10,10,0.9617
1169,14,14,0.5947
1170,3,19,0.5457
1171,7,3,0.5493
1172,4,4,0.7593
1173,16,16,0.9918
1174,17,7,0.9963
1175,16,16,0.4666
1176,18,18,0.9992
1177,14,14,0.9924
1178,5,5,0.9992
1179,19,19,0.5203
1180,19,19,0.9296
1181,8,8,0.9987
1182,17,17,0.9983
1183,18,18,0.9234
1184,17,7,0.6655
1185,7,1,0.4362
1186,10,10,0.8522
1187,17,17,0.9906
1188,4,17,0.5589
1189,14,14,0.9945
