,predicted,real,prob
0,2,2,0.566
1,1,1,1.0
2,0,0,0.6357
3,5,5,0.9901
4,2,5,0.8611
5,5,5,0.9002
6,2,2,0.9786
7,4,4,0.991
8,5,5,0.9511
9,5,5,0.9577
10,5,5,0.4081
11,2,2,0.9541
12,5,5,0.8467
13,2,2,0.9985
14,2,2,0.9107
15,3,3,0.9757
16,5,5,0.9468
17,5,1,0.5466
18,3,3,0.9775
19,5,5,0.9967
20,2,2,0.9584
21,5,5,1.0
22,2,2,0.9627
23,5,5,0.9857
24,4,4,0.9118
25,5,5,0.9827
26,4,4,0.8426
27,2,5,0.982
28,2,2,0.9816
29,5,5,0.9986
30,4,4,0.8636
31,5,5,0.8937
32,5,0,0.5318
33,5,2,0.8615
34,2,2,0.9546
35,2,2,0.9883
36,2,2,0.7878
37,2,2,0.9991
38,2,2,0.9975
39,5,5,0.9661
40,2,2,0.9635
41,2,2,0.9893
42,3,3,0.9976
43,5,5,0.93
44,5,5,0.8841
45,2,2,0.9767
46,2,2,0.994
47,3,3,0.971
48,2,2,0.9998
49,1,1,0.7878
50,2,5,0.9395
51,5,5,0.988
52,5,5,0.7979
53,5,5,0.977
54,4,4,0.8196
55,2,2,0.8873
56,3,3,0.9816
57,4,4,0.8298
58,5,5,0.6891
59,2,2,0.9142
60,2,2,0.9831
61,5,5,0.7933
62,2,5,0.9293
63,5,2,0.8275
64,2,2,0.5833
65,5,5,0.9936
66,3,3,0.9775
67,2,2,0.9992
68,4,4,0.8627
69,2,2,0.9993
70,2,2,0.9978
71,5,2,0.565
72,4,4,0.8174
73,1,1,0.9989
74,5,5,0.9566
75,5,5,0.9993
76,2,2,0.9699
77,5,5,0.8079
78,2,2,0.708
79,5,5,0.7037
80,5,5,0.7577
81,5,5,0.9484
82,2,2,0.9751
83,3,3,0.9997
84,0,5,0.4524
85,5,5,0.8453
86,5,0,0.7461
87,2,2,0.9938
88,2,2,0.864
89,2,5,0.9218
90,2,2,0.9796
91,2,2,0.6805
92,0,0,0.5837
93,5,2,0.9546
94,2,5,0.9716
95,5,5,0.9972
96,2,5,0.9146
97,4,4,0.9932
98,2,2,0.9646
99,2,2,0.9932
100,5,5,0.747
101,2,2,0.8709
102,5,5,0.7011
103,2,2,0.9874
104,2,2,0.9284
105,3,3,0.5362
106,2,2,0.9731
107,5,5,0.9612
108,4,4,0.7073
109,5,2,0.9075
110,5,5,0.9845
111,4,4,0.9935
112,5,5,0.6309
113,0,2,0.9462
114,4,4,0.9794
115,2,4,0.9867
116,2,2,0.9822
117,5,5,0.6442
118,4,4,0.9272
119,5,2,0.6959
120,2,2,0.9948
121,2,5,0.9657
122,5,5,0.5807
123,2,2,0.9748
124,2,2,0.9637
125,5,5,0.9649
126,5,2,0.5615
127,2,2,0.9842
128,5,5,0.6576
129,2,2,0.7837
130,5,0,0.9216
131,3,3,0.999
132,5,5,0.9985
133,0,0,0.9136
134,1,1,0.9455
135,1,1,1.0
136,0,0,0.613
137,5,5,0.9999
138,5,5,0.6101
139,5,5,0.9976
140,5,5,0.9534
141,0,5,0.6644
142,4,4,0.9919
143,5,5,0.7681
144,2,2,0.7419
145,5,5,0.7188
146,2,2,0.7396
147,5,5,0.6167
148,2,2,0.9856
149,5,5,0.9834
150,2,2,0.7197
151,0,0,0.5794
152,0,0,0.9622
153,5,5,0.9917
154,1,1,1.0
155,5,2,0.7625
156,5,5,0.9954
157,2,2,0.9879
158,5,5,0.9441
159,4,4,0.6995
160,5,2,0.5995
161,1,5,0.4127
162,2,2,0.9202
163,2,2,0.9878
164,5,0,0.7407
165,2,2,0.9933
166,5,5,0.9214
167,5,5,0.9792
168,2,2,0.9177
169,4,4,0.9983
170,5,0,0.7212
171,5,2,0.603
172,5,5,0.9466
173,5,5,0.9279
174,5,5,0.9075
175,1,1,1.0
176,5,5,0.977
177,1,1,1.0
178,1,1,1.0
179,5,5,0.8992
180,5,5,0.9971
181,3,3,0.9382
182,5,2,0.5489
183,2,2,0.8877
184,2,2,0.9429
185,5,5,0.9963
186,2,5,0.4534
187,5,5,0.9999
188,2,2,0.9827
189,5,5,0.588
190,0,0,0.9761
191,5,5,0.946
192,1,2,0.686
193,5,5,0.9958
194,2,1,0.9308
195,5,0,0.7992
196,3,3,0.9906
197,5,5,0.9659
198,2,2,0.9923
