,predicted,real,prob
0,8,8,0.05638629
1,18,18,0.97172767
2,17,17,1.2112625e-06
3,19,19,0.031431623
4,7,17,3.6431113e-06
5,7,7,6.102829e-06
6,19,19,0.0034908974
7,11,11,0.3980552
8,7,7,7.395958e-06
9,19,19,0.0007044261
10,10,10,0.00943219
11,7,5,0.10325375
12,10,10,0.013476553
13,8,8,0.95386875
14,7,7,3.598442e-05
15,5,5,0.1419998
16,16,16,0.0001712814
17,18,18,0.9955948
18,14,14,1.1978992e-05
19,7,7,4.4455323e-06
20,19,19,0.0016149301
21,18,18,0.99814105
22,16,16,0.0007344581
23,10,10,0.5102659
24,10,10,0.017032867
25,7,7,3.3748468e-06
26,7,5,5.825559e-05
27,5,5,0.010217404
28,19,7,0.00013111754
29,18,18,0.98559856
30,19,19,0.0011945759
31,17,17,0.21076673
32,7,7,0.018633747
33,7,7,1.774089e-07
34,4,19,1.8989074e-05
35,5,5,0.020954406
36,19,19,0.006156451
37,10,10,0.00017036161
38,8,8,0.17857078
39,3,19,1.830588e-07
40,11,11,7.474195e-06
41,15,15,0.98839265
42,17,17,8.120681e-06
43,10,10,0.07778872
44,15,15,0.053854942
45,10,19,0.00037669553
46,16,16,2.6211805e-05
47,16,16,0.00032947637
48,7,17,0.00035852994
49,7,7,4.958718e-06
50,5,5,0.026374968
51,10,10,0.006112341
52,7,7,0.014589801
53,8,8,0.8917794
54,7,7,2.21666e-05
55,7,7,5.4535785e-06
56,8,8,0.9454913
57,19,19,0.0017197913
58,8,8,0.35690317
59,18,18,3.604504e-05
60,15,15,0.8695931
61,8,8,0.87787783
62,18,18,0.00084337126
63,7,17,1.2163654e-05
64,16,16,0.00013706156
65,10,10,0.00039406345
66,18,16,0.0002762535
67,10,10,0.008735589
68,18,18,0.6134914
69,10,10,0.6372406
70,7,7,1.6716485e-06
71,14,14,0.00016902495
72,8,8,0.65694094
73,19,19,0.033496715
74,18,18,0.5298339
75,16,16,0.005997902
76,19,19,0.013243506
77,19,19,0.0011161817
78,13,7,3.4969555e-05
79,17,7,0.00033312818
80,6,7,0.020625463
81,7,5,1.4954403e-05
82,8,8,0.12754749
83,10,10,0.00033840613
84,7,7,1.0469225e-05
85,17,17,0.0038200465
86,19,19,0.0028087278
87,7,17,7.353834e-08
88,15,15,0.08439756
89,7,7,6.21494e-05
90,7,7,0.00027962276
91,5,5,0.033990532
92,10,19,0.0032644304
93,19,19,0.00059430546
94,7,7,0.00013329196
95,8,8,0.71045816
96,7,7,7.412387e-05
97,18,18,0.0004629446
98,8,8,0.94015
99,14,11,2.0091314e-07
100,17,7,0.00023828872
101,17,7,2.6445914e-05
102,7,7,0.114056654
103,10,19,0.00045035718
104,19,19,0.0013912905
105,19,19,0.0019826472
106,14,14,0.0005191027
107,7,7,0.0002070345
108,7,7,3.2933644e-05
109,19,19,0.00018468963
110,4,4,3.913692e-05
111,7,7,4.132199e-07
112,3,1,0.0003904388
113,7,7,0.00045220336
114,11,11,0.004180485
115,4,4,1.0367534e-05
116,17,17,0.00031591032
117,7,5,1.4753931e-05
118,7,7,0.0017297042
119,17,17,0.0017462291
120,7,7,0.02324559
121,4,5,5.2421106e-05
122,11,11,0.931374
123,10,10,0.00057863473
124,8,8,0.7697002
125,9,17,2.2362758e-06
126,8,8,0.7406366
127,7,7,7.5280045e-06
128,7,7,1.1095097e-07
129,18,18,0.00020158186
130,10,10,2.4069579e-05
131,7,13,8.0681053e-07
132,7,17,6.099611e-05
133,7,7,0.00046035324
134,19,19,4.3703643e-05
135,19,19,0.00015094418
136,7,17,0.001469606
137,7,7,7.973827e-06
138,4,4,3.6238565e-05
139,5,5,0.035756312
140,7,19,3.9575393e-06
141,7,17,5.074305e-05
142,10,10,0.00013910649
143,8,8,0.83544075
144,19,19,0.017150598
145,19,19,0.0037781189
146,15,15,0.107420556
147,16,18,6.517235e-07
148,19,10,0.00039577758
149,0,2,7.1823424e-06
150,19,19,0.005221173
151,10,10,0.014163169
152,7,2,3.871497e-05
153,17,7,1.0970277e-05
154,11,11,0.005048601
155,7,7,0.00020555024
156,7,17,8.809442e-05
157,17,17,6.2621933e-07
158,7,7,1.2743358e-07
159,19,19,0.011254102
160,10,10,0.00250091
161,13,11,0.011264523
162,19,10,0.0014360606
163,7,7,0.0012993483
164,8,8,0.9876287
165,7,7,7.646802e-05
166,8,8,0.77093476
167,19,19,0.014688581
168,16,16,4.2067995e-06
169,18,18,0.9952916
170,7,7,0.0005092875
171,7,7,0.00041805315
172,15,15,0.70702183
173,7,7,3.5692243e-05
174,2,7,1.5516802e-08
175,5,5,0.0406003
176,4,4,6.7433734e-07
177,16,16,2.7021664e-05
178,8,8,0.005388977
179,10,10,0.0089749545
180,7,5,0.0005776594
181,11,11,0.18831764
182,16,16,2.3520297e-05
183,7,7,2.785524e-07
184,8,8,0.17054284
185,7,5,9.262441e-05
186,16,16,0.011279541
187,3,2,6.041421e-05
188,7,7,0.0005830489
189,16,16,1.2337881e-06
190,8,8,0.34284753
191,10,10,0.0073646787
192,16,16,3.9719498e-07
193,18,18,0.99884474
194,8,8,0.94216514
195,19,19,0.0032700656
196,16,16,0.00058425416
197,16,5,3.4798364e-07
198,7,7,0.056679282
199,16,8,6.449004e-05
200,16,16,2.8259803e-06
201,8,8,0.52444947
202,7,7,3.389878e-06
203,10,10,0.023536894
204,16,16,7.2678645e-06
205,4,4,0.00056188885
206,8,8,0.20715421
207,18,18,0.99973637
208,19,19,0.0002654929
209,17,17,0.10766557
210,17,17,0.24906136
211,8,8,0.16059625
212,7,7,2.632778e-06
213,5,5,0.02177437
214,4,17,6.8384647e-06
215,5,5,7.4365365e-05
216,16,16,4.356126e-05
217,10,10,0.48519567
218,8,8,0.6835763
219,4,4,0.00010288095
220,16,16,2.447635e-08
221,7,16,4.4452227e-06
222,14,14,0.00013015624
223,1,1,0.01702233
224,8,8,0.18049207
225,10,19,0.00010053955
226,16,16,0.005078155
227,7,7,0.000698073
228,16,17,2.6347672e-07
229,5,5,0.07432041
230,19,19,0.03344308
231,13,18,0.28709793
232,19,19,0.072276
233,10,10,0.49841052
234,10,10,5.7870657e-05
235,16,16,0.0007779659
236,14,11,1.410781e-05
237,11,11,0.023058174
238,19,19,0.003551036
239,7,5,6.4848873e-06
240,11,13,0.00040743465
241,7,7,1.7876957e-05
242,16,10,3.082994e-05
243,18,18,0.8496074
244,17,17,0.00020926783
245,7,7,0.000107522705
246,7,5,0.0037352035
247,16,16,0.0026129247
248,10,10,0.028026737
249,7,7,3.0745854e-05
250,7,5,1.358587e-07
251,8,8,0.05091116
252,7,7,0.0021169188
253,8,8,0.46049958
254,7,7,0.0020923046
255,8,8,0.81754357
256,16,16,3.2531786e-06
257,8,8,0.7214255
258,4,4,0.000767661
259,15,15,0.18919833
260,7,5,0.00020912521
261,19,19,0.090528354
262,8,8,0.09357933
263,16,16,4.0389263e-05
264,8,8,0.16082
265,15,15,0.3666956
266,7,7,0.0003150426
267,19,19,0.0002829158
268,14,14,0.00020357211
269,7,16,1.0430462e-06
270,18,18,5.8231653e-05
271,17,17,0.00010462317
272,7,7,0.00028914458
273,19,19,0.00013843732
274,7,17,0.00012405193
275,13,13,0.26135692
276,17,4,6.833438e-05
277,18,18,0.07626724
278,19,19,0.009786537
279,18,18,0.00168598
280,18,18,0.121052735
281,7,7,2.0583537e-05
282,7,16,8.5903946e-07
283,7,7,0.0022021825
284,7,7,2.130748e-06
285,7,7,5.9738195e-05
286,16,16,1.5950828e-06
287,10,10,0.0453666
288,17,18,0.00016458232
289,8,8,0.004917333
290,7,7,9.325958e-07
291,5,5,0.015231309
292,8,8,0.30703568
293,11,14,0.00010348607
294,19,19,0.005291785
295,7,7,0.03408116
296,5,5,0.06553441
297,12,13,0.005853267
298,4,4,2.626556e-06
299,19,19,0.05151939
300,11,11,3.2424955e-06
301,8,8,0.18785469
302,6,6,0.34847805
303,10,10,0.0034841264
304,10,10,0.010520509
305,8,8,0.009023068
306,8,8,0.15505883
307,11,11,3.1048476e-06
308,4,4,0.46814063
309,8,8,0.3297975
310,15,15,0.29640758
311,17,17,5.969269e-06
312,18,18,0.50632966
313,7,7,0.00017149384
314,7,7,0.002994739
315,10,10,0.02514614
316,14,12,4.3504133e-05
317,19,19,0.01204728
318,19,19,0.0059824116
319,8,8,0.56349504
320,10,10,0.62157834
321,6,18,0.0040831454
322,18,18,0.026087033
323,16,16,2.3918856e-06
324,10,10,0.0031922539
325,18,18,0.0012987574
326,7,17,1.3112192e-06
327,10,10,0.02973327
328,14,11,1.0135181e-05
329,15,15,0.6160505
330,7,7,1.5710571e-05
331,17,17,2.36427e-05
332,7,5,4.4274864e-05
333,10,10,0.40265152
334,17,7,7.384258e-05
335,19,19,0.02273743
336,19,19,0.0011321494
337,10,19,0.012365235
338,7,7,1.1780869e-05
339,17,17,0.00080173137
340,8,8,0.10577152
341,18,18,0.33989733
342,16,16,0.004864164
343,17,17,0.005145002
344,15,15,0.22633469
345,7,7,0.00027398276
346,8,8,0.4296894
347,15,15,0.23993987
348,14,13,6.7584064e-05
349,7,7,2.5225636e-05
350,15,15,0.53552234
351,10,10,0.010325399
352,5,5,0.09658972
353,14,14,3.4134668e-05
354,19,10,0.00013236584
355,10,10,0.00022957804
356,19,10,0.001094631
357,10,10,5.198081e-05
358,10,19,0.00079413573
359,16,18,9.732774e-06
360,8,8,0.031385344
361,12,13,3.2160356e-06
362,16,7,9.165424e-09
363,19,19,0.010692022
364,16,7,1.1541229e-08
365,7,17,9.310058e-06
366,17,17,0.00011152848
367,7,7,1.1331046e-05
368,11,13,8.755926e-05
369,11,11,0.0003578741
370,18,16,1.093737e-06
371,7,7,8.273758e-06
372,7,16,2.807539e-08
373,5,5,0.017352542
374,11,11,5.298501e-05
375,15,15,0.64369017
376,7,7,3.662099e-06
377,15,15,0.51991546
378,8,8,0.08489035
