,predicted,real,prob
0,2,2,0.022845162
1,1,1,0.99736315
2,0,0,0.0029578565
3,5,5,0.07123773
4,5,5,0.0011821819
5,5,5,0.010234193
6,2,2,0.0026208288
7,4,4,0.7666223
8,5,5,0.0004857606
9,5,5,6.6450164e-05
10,5,5,0.039160103
11,2,2,0.0020648432
12,5,5,0.00049117167
13,2,2,0.9870789
14,5,2,0.007974336
15,3,3,0.8713375
16,5,5,0.0017682557
17,1,1,0.000445505
18,3,3,0.8708139
19,5,5,0.96578115
20,2,2,0.002386282
21,5,5,0.37814948
22,2,2,0.017804498
23,5,5,0.0940471
24,4,4,0.09942907
25,5,5,0.17812097
26,4,4,0.005502047
27,2,5,0.0029035883
28,2,2,0.0008896577
29,5,5,0.018174771
30,4,4,0.0023498489
31,5,5,0.019337058
32,0,0,0.9950406
33,5,2,0.0072772964
34,2,2,0.006228885
35,2,2,0.4816901
36,2,2,0.014161903
37,2,2,0.7839469
38,2,2,0.63860714
39,5,5,0.011837307
40,2,2,0.0014536586
41,2,2,0.034320716
42,3,3,0.21090434
43,5,5,0.0102556655
44,5,5,0.0011676641
45,2,2,0.32663858
46,2,2,0.0073407204
47,3,3,0.019351374
48,2,2,0.967721
49,5,1,0.006484324
50,5,5,0.0012561226
51,5,5,0.23765108
52,5,5,0.00377049
53,5,5,0.033018894
54,4,4,0.33189276
55,2,2,0.7299656
56,3,3,0.3048893
57,4,4,0.111791
58,5,5,0.0027851863
59,2,2,0.04352939
60,2,2,0.0037339209
61,0,5,0.00013686763
62,5,5,0.003470199
63,2,2,0.029379949
64,2,2,0.0054883217
65,5,5,0.99688184
66,3,3,0.8744012
67,2,2,0.5262563
68,4,4,0.15300189
69,2,2,0.6460661
70,2,2,0.7572826
71,5,2,2.3513232e-05
72,4,4,0.56951535
73,1,1,0.99413127
74,5,5,0.0010159855
75,5,5,0.43011507
76,2,2,0.004982114
77,5,5,0.003323712
78,2,2,0.020425402
79,5,5,0.00020852331
80,5,5,0.015709547
81,5,5,0.0023151229
82,2,2,0.54613453
83,3,3,0.5899827
84,5,5,0.00031824096
85,5,5,1.1272876e-05
86,0,0,0.00441062
87,2,2,0.7934173
88,5,2,1.4494656e-05
89,5,5,0.00035818966
90,2,2,0.2974244
91,5,2,0.00032967087
92,0,0,0.0009580252
93,5,2,0.0004759961
94,5,5,0.0005286981
95,5,5,0.20433769
96,2,5,0.0008820224
97,4,4,0.2467013
98,2,2,0.0737442
99,2,2,0.8830739
100,5,5,0.023586353
101,5,2,0.0002447853
102,5,5,0.0045000645
103,2,2,0.9072892
104,2,2,0.14913538
105,3,3,0.028325444
106,2,2,0.0010387676
107,5,5,0.0006447865
108,4,4,0.030053256
109,2,2,2.3708924e-05
110,5,5,0.91504747
111,4,4,0.06292258
112,5,5,0.00809618
113,2,2,0.00029600735
114,4,4,0.7268523
115,4,4,0.0065887696
116,2,2,0.012545186
117,5,5,2.2396362e-05
118,4,4,0.39450628
119,5,2,0.0798379
120,2,2,0.97611654
121,5,5,1.1050109e-05
122,5,5,0.003939993
123,2,2,0.82407784
124,2,2,0.9048564
125,5,5,0.0017461011
126,2,2,0.030889537
127,2,2,0.0012455853
128,0,5,0.00039189085
129,2,2,0.021659162
130,5,0,6.4717984e-05
131,3,3,0.24566576
132,5,5,0.4353521
133,0,0,0.0037000603
134,1,1,0.5513527
135,1,1,0.9983942
136,5,0,0.0015107393
137,5,5,0.2798605
138,2,5,0.0008819056
139,5,5,0.0036052559
140,5,5,0.0722541
141,5,5,0.0002967253
142,4,4,0.22618645
143,5,5,0.0011288272
144,2,2,0.21589585
145,5,5,0.9786592
146,2,2,0.06762019
147,2,5,3.48404e-05
148,2,2,0.004128054
149,5,5,0.003170996
150,5,2,0.00031245165
151,0,0,0.011658036
152,0,0,0.0864285
153,5,5,0.002374748
154,1,1,0.9399387
155,2,2,0.043151062
156,5,5,0.005607776
157,2,2,0.34809372
158,5,5,0.9885479
159,4,4,0.045897156
160,2,2,0.002086286
161,2,5,0.019358568
162,2,2,0.5011872
163,2,2,0.2296219
164,5,0,0.051662933
165,2,2,0.35436058
166,5,5,2.4993029e-05
167,5,5,0.004302545
168,5,2,0.003959208
169,4,4,0.3635791
170,5,0,0.0036309217
171,2,2,0.021280441
172,5,5,0.13596895
173,5,5,0.029385304
174,5,5,8.8584784e-05
175,1,1,0.98253644
176,5,5,0.050197173
177,1,1,0.99685115
178,1,1,0.9718969
179,5,5,0.0038864808
180,5,5,0.021746147
181,3,3,0.041412156
182,2,2,8.632224e-05
183,1,2,0.030657183
184,2,2,0.5127741
185,5,5,0.007559463
186,5,5,0.0035564373
187,5,5,0.061083585
188,2,2,0.918669
189,5,5,0.016245423
190,0,0,0.0076490156
191,5,5,0.00067956373
192,2,2,0.014358447
193,5,5,0.003280662
194,2,1,1.6469628e-05
195,2,0,4.7229325e-05
196,3,3,0.8472568
197,5,5,0.00021200135
198,2,2,0.99259406
199,1,1,0.98390746
200,5,5,0.00035363523
201,1,1,0.18454394
202,2,2,0.1407852
203,5,5,0.0001860419
204,5,5,0.30744478
205,1,0,0.0016266016
206,5,5,0.0005890463
207,0,0,0.00050308113
208,4,4,0.2777884
209,5,5,0.023328004
210,5,5,0.0052563124
211,2,2,0.027154868
212,5,5,2.6137497e-05
213,2,2,0.046525024
214,5,5,0.00082761684
215,2,2,0.8177463
216,5,5,0.17065331
217,0,0,0.00031593652
218,2,2,0.6298614
219,2,2,0.5570828
220,4,4,0.023770606
221,5,5,0.00304371
222,2,5,0.0010839589
223,5,5,0.15477386
224,1,1,0.19861749
225,5,0,0.00020294382
226,5,2,0.9786592
227,5,5,0.0036962389
228,2,1,0.00047300188
229,2,2,0.8075006
230,2,2,0.4538178
231,1,1,0.98029995
232,4,4,0.33279043
233,2,2,0.014546032
234,5,5,0.02275238
235,5,5,0.006743351
236,2,2,0.0016207866
237,2,2,0.09379736
238,2,2,0.10091563
239,2,1,0.00013682783
240,1,1,0.07359843
241,5,5,0.09172589
242,5,2,0.0002206926
243,5,5,0.00040752205
244,5,0,7.790906e-05
245,2,2,0.00011316498
246,2,2,0.097028464
247,5,5,0.038484585
248,5,5,0.11679639
249,0,0,0.0022136306
250,5,5,0.97827727
251,2,2,0.9782056
252,2,2,0.0012298749
253,5,5,0.04464704
254,2,2,0.64792883
255,5,5,0.0058703343
256,0,4,0.9535615
257,4,4,0.81130177
258,2,2,0.0077900323
259,5,5,0.0008885793
260,5,5,0.019086968
261,2,5,0.020648502
262,4,4,0.416756
263,1,1,0.995756
264,2,2,0.93915844
265,2,2,0.615018
266,2,2,0.9376972
267,5,5,0.19832607
268,5,5,0.058427174
269,5,5,0.0003764473
270,1,1,0.6870237
271,2,2,0.36467084
272,4,4,0.8602543
273,5,5,0.0025390016
274,5,5,0.0014066818
275,5,5,0.016249394
276,1,0,0.001173146
277,5,5,0.10391983
278,0,0,0.004297463
279,2,2,0.037807006
280,2,2,0.77225846
281,5,5,0.00058225257
282,1,1,0.9968935
283,5,5,0.0009814468
284,4,4,0.0126085775
285,2,2,0.5817753
286,2,2,0.009854792
287,5,5,0.00035253217
288,4,4,0.663383
289,5,5,0.27927145
290,5,5,0.032592904
291,2,2,0.0021294046
292,2,1,0.025046704
293,2,2,0.58592653
294,5,2,0.0050242976
295,2,0,0.00045277248
296,5,5,0.0016148792
297,5,5,0.9967259
298,2,2,0.049081124
299,3,3,0.6763845
300,5,5,0.034531616
301,2,5,0.038824413
302,5,5,0.0008351587
303,5,5,0.01629394
304,4,4,0.010853019
305,5,5,0.019110495
306,2,2,0.55000144
307,2,2,0.020555442
308,5,2,0.0014189146
309,5,5,0.004612089
310,2,2,0.4918295
311,5,5,0.99987185
312,2,2,0.055794273
313,5,1,0.024649506
314,2,2,0.0065253237
315,5,5,0.001141278
316,2,2,0.28326222
317,4,4,0.257923
318,5,5,0.00019158122
319,1,1,0.9890342
320,5,5,0.048883244
321,2,0,0.00030980783
322,2,2,0.93930954
323,4,4,0.14502628
324,5,5,0.07517252
325,1,1,0.010586704
326,5,5,0.029525433
327,2,2,0.029327601
328,2,2,0.0010880651
329,2,2,0.00035339364
330,5,2,5.9839684e-05
331,5,0,0.0026184765
332,5,5,0.0006543566
333,5,5,0.0012876906
334,5,5,0.0006354913
335,5,5,0.0028607529
336,3,3,0.807452
337,5,2,0.027548814
338,2,2,0.12842947
339,5,2,0.00016725165
340,2,2,0.32289714
341,5,5,0.0010093566
342,3,3,0.5717743
343,4,4,0.7100633
344,2,2,0.87403584
345,2,5,0.18862431
346,5,5,0.0031757609
347,3,3,0.019400204
348,3,3,0.19396496
349,5,5,0.014952493
350,2,2,0.056108333
351,2,5,0.0002826613
352,5,2,0.0009190487
353,5,5,0.0055257757
354,2,2,0.76085806
355,4,4,0.09723866
356,5,5,0.0019606377
357,0,0,1.940117e-05
358,2,2,0.9731131
359,5,5,0.0005285267
360,2,2,0.7149192
361,3,3,0.3566259
362,2,2,0.028016036
363,5,5,0.09698734
364,5,5,0.0015516779
365,3,3,0.23628172
366,2,2,0.0007342838
367,2,2,0.4209747
368,2,2,0.93449444
369,5,5,0.65592253
370,5,5,0.0016974281
371,2,2,4.904197e-06
372,2,2,0.7796107
373,5,5,0.025992585
374,5,5,0.008019179
375,5,5,0.08780589
376,4,4,0.00053410785
377,5,5,0.0021007464
378,0,0,0.04442893
379,2,2,0.8632716
380,4,4,0.08112587
381,5,2,0.00033884693
382,5,5,0.0010544563
383,5,5,0.22646885
384,5,5,0.09013276
385,5,5,0.0016100982
386,5,5,0.0029550903
387,4,4,0.02761343
388,4,4,0.6396282
389,5,1,0.00042970487
390,2,2,0.967293
391,4,4,0.5773691
392,2,2,0.94202113
393,2,2,0.01811936
394,2,5,0.0007869371
395,5,5,0.012464007
396,5,5,0.20322958
397,5,5,0.13247418
398,4,4,0.74863154
399,0,0,0.0010523039
400,2,2,0.07801694
401,5,5,0.2763888
402,5,5,0.061544806
403,2,2,0.0045462474
404,2,2,0.009738643
405,2,2,0.7434142
406,2,2,0.7462838
407,0,0,0.039887793
408,5,5,0.0009180304
409,5,5,0.0027852657
410,2,2,0.0064933924
411,5,2,0.0017770757
412,2,2,0.83422905
413,5,5,0.0012360334
414,4,4,0.56847
415,2,2,0.030160978
416,4,4,0.16561355
417,2,2,0.095927164
418,1,2,0.00015762838
419,2,2,0.011237279
420,2,5,0.0014313748
421,5,5,0.00407001
422,2,2,0.0009086655
423,0,0,0.049217552
424,2,2,0.0040299636
425,2,2,0.044060096
426,5,2,0.0028526143
427,5,2,0.00983781
428,4,4,0.6377632
429,5,5,0.0007983537
430,2,2,0.69257015
431,2,2,0.0037471952
432,2,1,0.0030772036
433,2,2,0.0050919564
434,5,5,7.2471295e-05
435,5,5,0.25862035
436,5,5,0.0007324091
437,5,5,0.007836142
438,0,0,0.19540617
439,4,4,0.5890739
440,0,0,0.0011925498
441,5,5,0.002964676
442,5,5,0.048542317
443,1,1,0.9861994
444,4,4,0.01921607
445,5,5,0.015966725
446,4,4,0.04414917
447,3,3,0.46031564
448,5,5,0.997013
449,5,5,0.10103924
450,5,5,0.23055376
451,5,5,0.25923502
452,1,2,0.00020636577
453,1,1,0.13290168
454,2,2,0.0031761942
455,2,2,0.35257918
456,2,2,1.7309114e-05
457,5,5,0.001745064
458,5,2,0.02084719
459,5,5,9.8425235e-06
460,2,1,0.0009695727
461,5,5,0.083087176
462,5,1,0.0007642982
463,2,2,0.015404434
464,2,2,0.8017184
465,2,2,0.0056147412
466,5,5,0.09316874
467,0,5,0.00039629726
468,2,2,0.5471602
469,2,2,0.6898843
470,5,5,0.028795967
471,1,1,0.98971516
472,5,5,7.218458e-05
473,5,5,0.11937705
474,2,2,0.005800244
475,5,2,8.967164e-05
476,2,2,0.00012009823
477,5,2,0.00045329743
478,2,2,0.16445717
479,5,0,6.584442e-05
480,5,2,0.0016350431
481,5,5,0.56525654
482,5,5,0.016817754
483,2,2,0.39665496
484,4,4,0.35090786
485,2,2,0.0023914853
486,5,5,0.008514563
