,predicted,real,prob
0,1,1,0.8289027
1,0,0,0.999998
2,1,1,0.99069935
3,1,1,0.99987805
4,0,0,1.0
5,0,0,0.99999905
6,1,1,0.9994974
7,0,0,1.0
8,1,1,0.9999049
9,0,0,0.9999999
10,0,0,0.99999917
11,0,0,0.9998286
12,1,1,0.9969356
13,1,0,0.84093237
14,0,0,0.9999975
15,0,0,0.99995124
16,0,0,0.99987376
17,1,1,0.89851445
18,0,0,1.0
19,0,0,0.92836595
20,1,1,0.999918
21,0,0,0.99340534
22,0,0,0.7789694
23,1,1,0.99986994
24,1,1,0.9456061
25,1,1,0.9994543
26,0,0,0.9999443
27,0,0,0.9999968
28,0,0,1.0
29,0,0,0.83777034
30,0,0,0.99998903
31,0,0,1.0
32,0,0,0.9999975
33,0,0,0.995269
34,1,1,0.6057308
35,1,1,0.7225901
36,1,1,0.8954356
37,1,1,0.9982405
38,1,1,0.9989967
39,0,0,0.9999976
40,1,1,0.9986986
41,1,1,0.99652016
42,0,0,1.0
43,0,0,0.9989918
44,0,0,0.99866915
45,0,0,1.0
46,0,0,0.9999981
47,0,0,0.82112443
48,0,0,0.99990165
49,0,0,0.9999999
50,0,0,0.9999999
51,0,0,1.0
52,0,0,0.9999999
53,1,1,0.97670335
54,0,0,0.99875796
55,0,0,0.9999696
56,0,0,1.0
57,1,1,0.98345226
58,0,0,1.0
59,1,1,0.99998546
60,1,1,0.9986444
61,0,0,1.0
62,0,0,0.99810046
63,0,0,1.0
64,0,0,0.99780494
65,0,0,0.8592549
66,0,0,1.0
67,1,1,0.9999825
68,0,0,0.999353
69,1,1,0.9997464
70,0,0,1.0
71,0,0,0.99987197
72,0,0,0.9999964
73,0,0,0.9999999
74,1,1,0.999764
75,0,0,1.0
76,0,0,0.99965024
77,1,1,0.9981342
78,1,1,0.99588877
79,0,0,0.9999566
80,0,0,0.9983645
81,0,0,0.6382265
82,0,0,0.9999882
83,0,0,0.99986553
84,0,0,0.99228245
85,1,0,0.98092735
86,1,0,0.7040138
87,0,0,1.0
88,0,0,1.0
89,0,0,0.9999596
90,0,0,0.90190405
91,0,0,1.0
92,0,0,0.9993969
93,0,0,1.0
94,0,0,0.9999994
95,0,0,0.99803406
96,1,1,0.5884077
97,1,1,0.9991167
98,1,1,0.529295
99,0,0,0.99565446
100,1,1,0.8523272
101,0,0,0.9999893
102,1,1,0.9987644
103,0,0,1.0
104,1,1,0.9995153
105,0,0,0.9976653
106,0,0,0.9999976
107,0,0,0.9999999
108,0,0,0.99998164
109,0,0,1.0
110,0,0,0.99999976
111,0,0,1.0
112,1,0,0.8446451
113,0,0,0.999951
114,0,0,0.99997056
115,0,0,0.999998
116,1,1,0.5226478
117,1,1,0.9992637
118,0,1,0.9617041
119,0,1,0.96083176
120,0,0,1.0
121,0,0,0.9489921
122,1,1,0.99956006
123,1,1,0.9794078
124,0,0,0.9999999
125,1,0,0.92487186
126,0,0,1.0
127,1,1,0.99892396
128,0,0,0.97786945
129,0,0,1.0
130,0,0,1.0
131,0,0,1.0
132,1,1,0.9999696
133,1,1,0.995119
134,0,0,0.9999932
135,1,0,0.700497
136,0,0,0.9999981
137,0,0,1.0
138,1,1,0.7896137
139,0,0,1.0
140,0,0,0.9999999
141,1,1,0.9999012
142,0,0,0.9985734
143,1,1,0.9998281
144,1,1,0.9996841
145,0,0,1.0
146,0,0,0.99808145
147,1,1,0.9219205
148,1,1,0.97518414
149,1,1,0.998845
150,0,0,1.0
151,1,1,0.9857875
152,1,1,0.99987614
153,0,0,1.0
154,0,0,0.9995352
155,0,0,0.9999938
156,0,0,1.0
157,0,0,0.99952114
158,0,0,0.99999774
159,0,0,1.0
160,0,0,0.9993332
161,1,1,0.8927257
162,1,1,0.67242837
163,0,0,0.9934429
164,0,0,0.99999845
165,0,0,1.0
166,0,0,1.0
167,0,0,0.99720687
168,1,0,0.96522164
169,1,1,0.98224384
170,0,0,0.9999392
171,1,1,0.77312505
172,0,0,0.8845509
173,0,0,0.99998546
174,0,0,1.0
175,0,0,0.9998901
176,1,1,0.9987233
177,0,0,0.9999995
178,0,0,0.99972564
179,0,0,0.9996226
180,0,0,1.0
181,0,0,0.99999106
182,1,0,0.9394289
183,0,0,1.0
184,0,0,0.9999999
185,1,1,0.9992473
186,0,0,0.99999464
187,0,0,0.9974572
188,0,0,0.99993634
189,0,0,1.0
190,0,1,0.802546
191,0,0,1.0
192,0,0,0.9997087
193,1,1,0.9993998
194,0,0,0.9991347
195,1,1,0.99987066
196,0,0,1.0
197,0,0,0.99999726
198,1,1,0.9209729
199,0,0,0.57591295
200,0,0,0.9999995
201,1,1,0.9968238
202,1,1,0.99798787
203,0,0,1.0
204,0,0,0.9999981
205,0,0,0.99999964
206,0,0,0.99999964
207,1,1,0.55820745
208,0,0,0.9997259
209,0,0,0.99999726
210,0,0,0.9999939
211,0,0,1.0
212,1,1,0.9999826
213,0,0,0.9990362
214,1,1,0.97582597
215,0,0,0.99992037
216,0,0,1.0
217,0,0,1.0
218,0,0,0.9999999
219,1,0,0.8960832
220,0,0,0.99972826
221,1,1,0.8294746
222,1,1,0.9985611
223,1,1,0.9998765
224,1,1,0.840301
225,0,0,0.9999924
226,1,1,0.9998945
227,1,1,0.9709298
228,1,1,0.9980459
229,0,0,1.0
230,1,1,0.65116024
231,1,1,0.9975841
232,1,1,0.999979
233,0,0,0.9999937
234,1,1,0.9988732
235,0,0,0.9900266
236,0,0,0.80189276
237,0,0,0.9999869
238,1,1,0.5763384
239,0,0,0.9999894
240,1,0,0.9601113
241,1,1,0.99997866
242,0,0,0.99999416
243,1,0,0.99180555
244,0,0,0.9999999
245,0,0,0.99999
246,0,0,1.0
247,0,0,1.0
248,0,0,0.98013717
249,0,0,0.997897
250,0,0,0.9999844
251,0,0,0.9999993
252,0,0,0.99999976
253,1,1,0.9956455
254,0,0,1.0
255,1,1,0.9984647
256,0,0,0.9999993
257,0,0,0.99999547
258,1,1,0.96301544
259,0,0,0.9998627
260,0,0,0.9999999
261,0,0,0.97705317
262,0,0,0.9994886
263,0,0,1.0
264,1,1,0.9990695
265,1,1,0.9784943
266,0,0,0.99999833
267,0,0,0.8952805
268,1,1,0.9999436
269,0,0,1.0
270,0,0,1.0
271,1,1,0.862251
272,1,1,0.9510836
273,0,0,0.99999964
274,0,0,0.9998766
275,1,1,0.9117436
276,0,0,1.0
277,0,0,0.9999696
278,1,0,0.91017205
279,0,0,0.99998343
280,0,0,1.0
281,0,0,0.9999608
282,0,0,0.999678
283,0,0,0.9998066
284,0,0,1.0
285,0,0,1.0
286,1,1,0.9999124
287,0,0,0.9993924
288,0,0,1.0
289,1,1,0.9981402
290,0,0,1.0
291,1,1,0.97451687
292,0,0,0.9961876
293,1,0,0.97986674
294,0,0,0.99998057
295,0,0,1.0
296,1,1,0.9741086
297,0,0,1.0
298,0,0,1.0
299,0,0,1.0
300,0,0,0.99999595
301,1,1,0.9996209
302,0,0,0.9999962
303,0,0,1.0
304,1,0,0.9493893
305,0,1,0.73422414
306,0,0,0.9985275
307,1,0,0.73827165
308,0,0,0.9999982
309,0,0,1.0
310,1,1,0.96723026
311,0,0,0.9999932
312,0,0,0.92973197
313,0,0,0.9999703
314,0,0,1.0
315,0,0,0.9999554
316,1,1,0.8309113
317,0,0,1.0
318,1,1,0.99880385
319,0,0,1.0
320,0,0,0.9995283
321,0,0,0.99999976
322,0,0,0.99999905
323,0,0,0.99999833
324,1,0,0.8354203
325,0,0,0.9999925
326,0,0,0.99999297
327,0,0,0.9999981
328,0,0,0.9999994
329,0,0,0.9999856
330,0,0,0.99949706
331,0,0,0.9999517
332,0,0,0.9998956
333,0,0,1.0
334,0,0,0.9999957
335,1,0,0.76806545
336,1,1,0.91094357
337,0,0,0.99997747
338,0,0,1.0
339,1,1,0.9435627
340,0,0,1.0
341,0,0,1.0
342,0,0,0.99999535
343,0,0,0.9999937
344,0,0,0.9999659
345,0,0,0.99999905
346,1,0,0.5226883
347,0,0,0.53544813
348,1,0,0.8667146
349,0,0,0.99997985
350,0,1,0.75377655
351,1,1,0.8956792
352,0,0,1.0
353,1,1,0.9954674
354,0,0,1.0
355,0,0,1.0
356,0,0,0.9999999
357,0,0,1.0
358,0,0,1.0
359,0,0,0.99998903
360,0,0,0.99999917
361,1,1,0.97266126
362,0,0,0.9998623
363,1,1,0.90453464
364,0,1,0.72909856
365,0,0,0.8729223
366,0,0,0.9998043
367,1,1,0.9999627
368,0,0,0.99999917
369,0,0,0.99998796
370,0,0,0.9971259
371,0,0,0.99999595
372,0,0,0.9837186
373,1,1,0.80794907
374,0,0,0.9971084
375,1,1,0.94404685
376,0,0,1.0
377,0,0,1.0
378,0,0,0.99999976
379,0,0,0.9999999
380,0,0,0.99879646
381,1,1,0.9937662
382,1,1,0.9898644
383,0,0,0.9998863
384,0,0,1.0
385,1,1,0.89788616
386,0,0,0.9997532
387,0,0,0.9999671
388,1,1,0.833909
389,0,0,0.9988632
390,0,0,0.9998375
391,0,0,0.9999974
392,1,0,0.866767
393,0,0,1.0
394,0,0,1.0
395,0,0,0.9999999
396,0,0,1.0
397,0,0,0.9999974
398,0,0,0.99915624
399,0,0,0.9978962
400,1,1,0.99991417
401,0,0,0.9999995
402,0,0,0.9999907
