,predicted,real,prob
0,8,8,1.0
1,18,18,0.9974
2,17,17,0.9993
3,19,19,1.0
4,17,17,0.9915
5,7,7,0.9999
6,19,19,0.9948
7,11,11,0.7514
8,7,7,0.7724
9,19,19,0.9887
10,19,10,0.9309
11,5,5,1.0
12,10,10,0.9982
13,8,8,0.9999
14,7,7,0.9997
15,5,5,0.9994
16,16,16,0.669
17,18,18,0.9998
18,14,14,0.9995
19,7,7,0.9999
20,19,19,0.9993
21,18,18,0.9992
22,16,16,0.9924
23,10,10,0.9999
24,10,10,0.9373
25,7,7,1.0
26,5,5,0.9998
27,5,5,0.9989
28,17,7,0.1137
29,18,18,0.9999
30,19,19,0.9994
31,17,17,0.9998
32,7,7,1.0
33,7,7,0.9825
34,7,19,0.0093
35,5,5,0.9999
36,19,19,0.9968
37,10,10,0.9453
38,8,8,0.9955
39,17,19,0.9934
40,11,11,0.9987
41,15,15,0.9992
42,17,17,0.7991
43,10,10,0.9875
44,15,15,0.9998
45,19,19,0.8668
46,16,16,0.9914
47,18,16,0.8918
48,17,17,0.997
49,7,7,0.997
50,5,5,0.9998
51,19,10,0.9688
52,7,7,1.0
53,8,8,1.0
54,17,7,0.987
55,7,7,0.2492
56,8,8,0.9987
57,19,19,0.4843
58,8,8,0.9983
59,18,18,0.9271
60,15,15,0.9993
61,8,8,0.9999
62,18,18,0.9391
63,7,17,0.9997
64,16,16,0.9992
65,19,10,0.995
66,16,16,0.9423
67,19,10,0.8191
68,17,18,0.8035
69,10,10,0.9708
70,7,7,0.9999
71,14,14,0.9998
72,8,8,1.0
73,10,19,0.9848
74,18,18,0.9988
75,16,16,1.0
76,10,19,0.9776
77,19,19,0.9836
78,7,7,0.9986
79,7,7,1.0
80,6,7,0.1654
81,5,5,0.9932
82,8,8,0.9999
83,10,10,0.8673
84,7,7,0.9998
85,17,17,0.9992
86,10,19,0.9929
87,17,17,0.9993
88,15,15,0.9996
89,7,7,1.0
90,7,7,0.9793
91,5,5,0.9995
92,10,19,0.6892
93,19,19,0.9996
94,7,7,1.0
95,8,8,1.0
96,7,7,0.9997
97,18,18,0.9542
98,8,8,0.9998
99,11,11,0.9988
100,7,7,0.9998
101,7,7,0.9983
102,7,7,1.0
103,19,19,0.9693
104,19,19,0.993
105,10,19,0.9975
106,14,14,0.9999
107,7,7,0.8076
108,17,7,0.8985
109,19,19,0.9968
110,17,4,0.7603
111,7,7,1.0
112,3,1,0.7354
113,7,7,0.9995
114,11,11,0.9999
115,4,4,0.9976
116,7,17,0.9828
117,5,5,0.9995
118,7,7,0.9985
119,17,17,0.9998
120,7,7,0.9998
121,4,5,0.6169
122,11,11,0.933
123,10,10,0.997
124,8,8,0.9997
125,16,17,0.4672
126,8,8,0.9997
127,7,7,0.999
128,7,7,0.2443
129,18,18,0.9211
130,19,10,0.9999
131,13,13,0.9815
132,17,17,0.9315
133,7,7,0.9998
134,19,19,0.9668
135,10,19,0.8365
136,7,17,0.9876
137,7,7,0.9999
138,4,4,0.8029
139,5,5,1.0
140,7,19,0.6793
141,17,17,0.9991
142,10,10,0.9914
143,8,8,1.0
144,10,19,0.8525
145,19,19,0.9999
146,15,15,0.999
147,7,18,0.9707
148,19,10,0.9848
149,0,2,0.5223
150,10,19,0.9556
151,19,10,0.9911
152,2,2,0.4468
153,17,7,0.8291
154,11,11,0.9965
155,7,7,0.9997
156,17,17,0.962
157,17,17,0.9997
158,7,7,0.9981
159,19,19,0.9911
160,19,10,0.8739
161,11,11,0.376
162,19,10,0.9657
163,7,7,1.0
164,8,8,0.9999
165,7,7,0.9996
166,8,8,0.9998
167,19,19,0.997
168,16,16,0.9752
169,18,18,1.0
170,7,7,1.0
171,7,7,1.0
172,15,15,0.9995
173,7,7,0.9999
174,7,7,1.0
175,5,5,0.9805
176,17,4,0.5834
177,16,16,0.9998
178,8,8,1.0
179,19,10,0.9994
180,5,5,0.9999
181,11,11,0.9999
182,18,16,0.9253
183,7,7,0.9965
184,8,8,0.9989
185,5,5,0.9995
186,16,16,0.8683
187,19,2,0.5139
188,7,7,1.0
189,18,16,0.9123
190,8,8,1.0
191,10,10,0.9889
192,16,16,0.9971
193,18,18,0.9997
194,8,8,1.0
195,19,19,0.7658
196,16,16,0.9934
197,5,5,0.9976
198,7,7,1.0
199,8,8,0.9998
200,16,16,0.6458
201,8,8,0.9996
202,7,7,0.9786
203,10,10,0.821
204,16,16,0.9845
205,4,4,0.9115
206,8,8,1.0
207,18,18,0.9995
208,19,19,0.9966
209,17,17,0.997
210,17,17,0.974
211,8,8,0.9995
212,7,7,0.9813
213,5,5,0.9966
214,17,17,0.9886
215,5,5,0.9979
216,16,16,0.561
217,19,10,0.991
218,8,8,0.9987
219,4,4,0.9621
220,18,16,0.9725
221,7,16,0.5047
222,14,14,0.9978
223,1,1,0.9379
224,8,8,0.9999
225,19,19,0.9139
226,16,16,0.9996
227,7,7,1.0
228,16,17,0.9222
229,5,5,1.0
230,10,19,0.8638
231,13,18,0.9972
232,19,19,0.9918
233,10,10,0.9982
234,19,10,0.9589
235,16,16,1.0
236,11,11,0.9963
237,11,11,0.9998
238,19,19,0.9909
239,5,5,1.0
240,13,13,0.9469
241,7,7,1.0
242,11,10,0.2513
243,18,18,0.9948
244,17,17,0.9916
245,7,7,1.0
246,5,5,0.9846
247,16,16,0.9992
248,10,10,0.4037
249,7,7,0.9999
250,5,5,0.9725
251,8,8,0.9967
252,7,7,1.0
253,8,8,1.0
254,7,7,0.9997
255,8,8,0.9999
256,18,16,0.9079
257,8,8,0.9998
258,4,4,0.8543
259,15,15,0.9993
260,5,5,0.9992
261,19,19,0.9997
262,8,8,1.0
263,16,16,0.9998
264,8,8,0.9976
265,15,15,0.9996
266,7,7,0.9996
267,10,19,0.9439
268,14,14,0.9608
269,16,16,0.9913
270,18,18,0.9884
271,17,17,0.8602
272,7,7,0.9972
273,19,19,0.9934
274,7,17,0.9902
275,13,13,0.9931
276,17,4,0.7969
277,18,18,0.9992
278,10,19,0.8724
279,18,18,0.9997
280,18,18,0.9884
281,7,7,1.0
282,16,16,0.2711
283,7,7,1.0
284,7,7,0.9395
285,7,7,0.9995
286,16,16,0.9999
287,10,10,0.2369
288,17,18,0.5927
289,8,8,1.0
290,7,7,0.9972
291,5,5,1.0
292,8,8,1.0
293,14,14,0.9736
294,19,19,0.9987
295,7,7,1.0
296,5,5,0.9935
297,14,13,0.2359
298,4,4,0.9984
299,19,19,0.916
300,11,11,1.0
301,8,8,0.9998
302,13,6,0.0464
303,10,10,0.9482
304,10,10,0.9997
305,8,8,1.0
306,8,8,1.0
307,11,11,0.9993
308,5,4,0.9994
309,8,8,0.9999
310,15,15,0.9998
311,17,17,0.984
312,18,18,0.9999
313,7,7,0.9997
314,7,7,0.697
315,10,10,0.8056
316,12,12,0.9915
317,19,19,0.9979
318,19,19,0.9989
319,8,8,1.0
320,10,10,0.9941
321,16,18,0.2781
322,18,18,0.9559
323,16,16,0.6157
324,10,10,0.932
325,18,18,0.9821
326,17,17,0.9719
327,19,10,0.9951
328,11,11,0.9677
329,15,15,0.9997
330,7,7,0.9899
331,17,17,1.0
332,19,5,0.1107
333,10,10,0.9995
334,17,7,0.9856
335,19,19,0.9872
336,10,19,0.9601
337,19,19,0.6127
338,7,7,0.9999
339,17,17,0.9636
340,8,8,1.0
341,18,18,0.9886
342,16,16,0.9999
343,17,17,0.9951
344,15,15,0.9998
345,7,7,0.9981
346,8,8,1.0
347,15,15,0.9996
348,13,13,0.9111
349,7,7,0.9999
350,15,15,0.9984
351,19,10,0.9973
352,5,5,0.9965
353,14,14,0.9984
354,19,10,0.99
355,19,10,0.9835
356,10,10,0.9982
357,19,10,0.9986
358,19,19,0.8898
359,16,18,0.7463
360,8,8,0.9983
361,13,13,0.9974
362,7,7,0.9987
363,10,19,0.9578
364,7,7,0.9999
365,4,17,0.0646
366,17,17,0.8217
367,7,7,1.0
368,11,13,0.4034
369,11,11,0.9933
370,17,16,0.6788
371,7,7,0.9998
372,7,16,0.084
373,5,5,0.9972
374,11,11,0.9999
375,15,15,0.9997
376,7,7,1.0
377,15,15,0.9994
378,8,8,0.9991
379,8,8,0.9987
380,18,18,0.9997
381,2,3,0.1876
382,14,14,0.9972
383,19,19,0.9726
384,8,8,0.9998
385,7,7,0.993
386,18,18,0.9996
387,10,19,0.9991
388,11,11,0.9663
389,8,8,0.9965
390,17,7,0.9993
391,8,8,0.9996
392,15,15,0.9998
393,18,18,0.7861
394,19,10,0.9814
395,10,19,0.7277
396,7,7,1.0
397,17,2,0.0811
398,19,19,0.9874
399,11,14,0.0219
400,15,15,0.9994
401,8,8,0.9995
402,10,10,0.9999
403,8,8,1.0
404,7,7,0.9999
405,7,7,1.0
406,5,5,0.9998
407,7,7,0.6507
408,18,18,0.9999
409,10,10,0.852
410,18,18,0.9999
411,19,19,0.179
412,19,1,0.3281
413,7,7,0.7845
414,5,5,1.0
415,7,7,0.9746
416,19,19,0.9979
417,5,5,0.9983
418,11,11,1.0
419,17,17,0.9923
420,12,12,0.9976
421,19,10,0.9981
422,19,19,0.6244
423,19,19,0.9626
424,17,17,0.9965
425,16,16,0.9811
426,19,19,0.8082
427,7,7,1.0
428,7,7,1.0
429,17,17,0.9991
430,7,7,1.0
431,8,8,0.9995
432,8,8,1.0
433,5,5,0.9988
434,7,7,0.9999
435,5,5,0.9999
436,18,18,0.9825
437,19,19,0.9997
438,17,7,0.9958
439,17,17,0.9542
440,18,18,0.9986
441,7,7,0.9982
442,18,18,0.9242
443,17,17,0.9998
444,5,5,0.9939
445,18,18,0.9493
446,8,8,1.0
447,14,14,0.9986
448,8,8,1.0
449,8,8,0.9975
450,19,19,0.8744
451,7,7,1.0
452,19,1,0.5718
453,8,8,0.9999
454,8,8,0.9997
455,6,16,0.286
456,8,8,0.9991
457,19,19,0.9988
458,12,12,0.9984
459,8,8,0.9997
460,7,7,0.9994
461,18,18,0.9655
462,19,10,0.9086
463,11,11,1.0
464,18,18,0.9994
465,1,1,0.9366
466,19,19,0.996
467,10,10,0.9986
468,10,10,0.9992
469,7,4,0.9887
470,11,11,0.9994
471,10,19,0.9102
472,15,15,0.9984
473,7,7,1.0
474,16,16,0.9932
475,7,7,0.9988
476,17,16,0.9972
477,16,16,0.9977
478,11,11,0.9916
479,18,18,0.9998
480,16,16,1.0
481,5,5,1.0
482,11,11,1.0
483,17,17,0.9939
484,8,8,0.9961
485,5,1,0.946
486,19,19,0.9965
487,10,10,0.9998
488,7,7,0.905
489,10,10,0.7555
490,17,17,0.9996
491,14,14,0.9729
492,8,8,0.9999
493,18,18,0.9319
494,14,14,0.9998
495,16,17,0.574
496,5,5,0.999
497,5,5,0.9993
498,10,10,0.9998
499,7,7,0.9999
500,7,7,1.0
501,5,5,0.9982
502,19,10,0.7208
503,11,11,0.9997
504,4,4,0.999
505,10,10,0.9858
506,6,6,0.6403
507,7,7,1.0
508,15,15,0.9925
509,4,4,0.4301
510,18,18,0.9955
511,17,17,0.9804
512,18,5,0.3653
513,11,11,0.995
514,10,10,0.9567
515,5,5,0.9406
516,15,15,0.9991
517,7,7,0.9995
518,17,17,0.9785
519,19,19,0.9987
520,7,17,0.7276
521,18,18,0.9998
522,7,7,1.0
523,18,18,0.9849
524,17,17,0.9987
525,7,7,1.0
526,8,8,0.9999
527,10,10,0.9988
528,19,19,0.9986
529,16,16,0.8975
530,5,5,0.6849
531,14,14,0.9998
532,7,7,1.0
533,16,16,0.9947
534,11,11,0.9986
535,6,5,0.6975
536,7,7,0.9999
537,5,4,0.9977
538,2,9,0.1368
539,5,5,0.997
540,16,16,0.9837
541,5,5,0.9814
542,7,7,1.0
543,19,19,0.9049
544,5,7,0.999
545,10,10,0.9256
546,11,11,0.9999
547,7,7,0.7017
548,10,10,0.9996
549,19,10,0.8329
550,8,8,1.0
551,7,7,0.9999
552,16,16,0.878
553,14,14,0.9948
554,19,19,0.9955
555,11,13,0.8031
556,4,4,0.9339
557,19,10,0.4216
558,15,15,0.9998
559,10,19,0.7305
560,8,8,0.9995
561,7,7,1.0
562,17,17,0.9983
563,15,15,0.9983
564,19,19,0.9743
565,16,16,0.7922
566,7,7,1.0
567,8,8,1.0
568,18,18,0.9664
569,18,18,0.9287
570,15,15,0.9998
571,18,18,0.9557
572,8,8,1.0
573,5,5,0.9994
574,11,11,1.0
575,19,19,0.9989
576,7,17,0.995
577,8,8,0.9999
578,7,7,0.9996
579,7,7,0.9997
580,13,13,0.9998
581,8,8,0.9967
582,8,8,1.0
583,16,16,0.9858
584,19,19,0.9975
585,17,16,0.9806
586,13,13,0.9997
587,18,16,0.5975
588,8,8,0.9998
589,10,19,0.823
590,18,18,1.0
591,5,5,0.9999
592,19,10,0.7105
593,8,8,0.9998
594,7,7,0.9988
595,15,15,0.9994
596,16,16,0.9999
597,16,9,0.996
598,8,8,0.9996
599,16,16,0.9995
600,15,15,0.9995
601,19,19,0.9877
602,7,7,0.9991
603,7,7,0.9848
604,13,13,1.0
605,7,17,0.9982
606,19,17,0.9681
607,19,10,0.8392
608,19,19,0.1039
609,18,18,0.9987
610,17,7,0.9745
611,15,15,0.9999
612,11,11,0.9957
613,17,17,0.9983
614,5,5,0.9999
615,4,4,0.769
616,7,7,0.9992
617,19,10,0.977
618,7,7,0.9997
619,16,16,0.8545
620,18,18,0.9998
621,5,5,0.992
622,19,19,0.9714
623,7,7,0.9884
624,7,18,0.9564
625,17,17,0.6795
626,16,16,0.9843
627,7,7,0.9641
628,8,8,0.9989
629,17,7,0.9974
630,16,16,0.9999
631,8,8,1.0
632,10,10,0.9635
633,17,17,0.9996
634,12,12,0.7669
635,19,19,0.9901
636,19,10,0.9932
637,5,5,0.9983
638,5,5,0.9999
639,8,8,0.9996
640,18,18,0.9978
641,7,7,0.9998
642,11,11,0.9999
643,16,16,0.8535
644,10,19,0.9301
645,7,7,0.9998
646,10,10,0.9998
647,19,10,0.975
648,19,19,0.9991
649,16,16,0.9964
650,18,18,0.9998
651,14,14,0.9896
652,17,4,0.9956
653,16,18,0.4541
654,10,10,0.984
655,19,19,0.9994
656,7,7,0.9601
657,16,16,1.0
658,15,15,0.9994
659,8,8,0.9994
660,19,10,0.9668
661,15,15,0.9995
662,11,12,0.9662
663,17,17,0.999
664,19,19,0.9987
665,1,5,0.3535
666,17,17,0.9992
667,17,17,0.9999
668,8,8,0.9992
669,11,11,0.9971
670,10,19,0.7191
671,7,7,0.9997
672,8,8,0.9999
673,16,16,0.929
674,16,16,1.0
675,19,19,0.9787
676,17,16,0.4947
677,17,17,0.9962
678,7,7,0.9997
679,7,7,1.0
680,14,12,0.9179
681,18,16,0.4875
682,19,10,0.9924
683,5,5,1.0
684,16,16,0.9781
685,8,8,1.0
686,7,7,0.9972
687,19,10,0.9985
688,8,8,1.0
689,19,19,0.8334
690,19,10,0.9934
691,17,17,0.9863
692,16,1,0.8132
693,19,19,0.9784
694,16,16,0.922
695,10,19,0.9813
696,7,7,0.9935
697,18,18,0.8009
698,7,7,0.9997
699,7,17,0.8241
700,11,11,0.9969
701,15,15,0.9997
702,18,18,0.9088
703,19,10,0.9955
704,18,18,0.9998
705,18,18,0.9982
706,7,7,0.9997
707,17,17,1.0
708,17,17,0.2951
709,17,17,0.7234
710,19,17,0.6273
711,11,11,0.9999
712,16,16,0.9998
713,7,7,1.0
714,15,15,0.9996
715,19,19,0.8785
716,16,16,0.9968
717,17,7,0.9994
718,16,16,0.9995
719,19,19,0.9383
720,19,19,0.9469
721,7,7,1.0
722,19,19,0.9919
723,6,5,0.604
724,8,8,0.9998
725,19,10,0.9931
726,8,8,0.9999
727,12,12,0.9984
728,17,17,0.9417
729,8,8,0.9992
730,10,10,0.9988
731,19,19,0.9977
732,19,19,0.9909
733,7,18,0.5421
734,7,7,0.9999
735,11,11,0.9999
736,9,9,0.9066
737,13,13,0.9969
738,7,7,1.0
739,19,19,0.8931
740,5,5,0.9997
741,19,19,0.9991
742,4,4,0.7718
743,7,10,0.5667
744,8,8,0.9995
745,14,14,0.9956
746,8,8,0.9995
747,10,19,0.9838
748,10,10,0.9999
749,16,16,0.9901
750,7,7,0.9999
751,7,7,1.0
752,18,18,0.9859
753,11,11,0.9954
754,8,8,0.9993
755,19,10,0.9986
756,19,10,0.9976
757,17,18,0.6541
758,19,19,0.9395
759,8,8,0.9997
760,18,16,0.8403
761,19,19,0.9996
762,8,8,0.9994
763,11,11,0.9825
764,10,10,0.9521
765,7,7,1.0
766,18,18,0.9781
767,18,18,0.9357
768,7,7,0.9993
769,8,8,1.0
770,13,12,0.2411
771,4,4,0.6945
772,19,19,0.3118
773,12,12,0.9838
774,8,8,0.9996
775,10,19,0.9201
776,18,18,0.9999
777,10,10,0.8535
778,4,4,0.9746
779,15,15,0.9997
780,8,8,1.0
781,16,16,0.8302
782,17,7,0.9994
783,10,10,0.9418
784,17,17,0.9587
785,8,8,0.9999
786,18,18,0.9999
787,8,8,0.9969
788,10,10,0.9996
789,7,7,0.9899
790,15,15,0.9996
791,8,8,1.0
792,8,8,0.9999
793,12,12,0.9988
794,5,5,0.9985
795,12,12,0.9996
796,5,5,0.8682
797,7,0,0.9805
798,7,17,0.9882
799,15,15,0.9982
800,7,7,0.9998
801,19,11,0.1589
802,8,8,1.0
803,12,12,0.9815
804,5,5,1.0
805,18,18,0.9968
806,7,7,1.0
807,19,10,0.9979
808,3,19,0.277
809,19,19,0.9893
810,8,8,0.9997
811,7,7,0.9993
812,10,19,0.996
813,19,19,0.8486
814,18,7,0.8
815,19,19,0.9966
816,7,7,1.0
817,7,7,0.8988
818,15,15,0.9996
819,19,10,0.9983
820,8,8,0.9982
821,15,15,0.999
822,8,8,0.9997
823,11,11,0.9974
824,7,7,0.9997
825,7,7,0.9998
826,17,17,0.9973
827,17,17,0.9058
828,7,7,0.9999
829,19,17,0.1407
830,18,18,0.9482
831,7,7,1.0
832,10,10,0.9996
833,5,5,1.0
834,17,17,0.9902
835,16,16,0.9999
836,8,8,1.0
837,7,4,0.2685
838,7,7,1.0
839,15,15,0.9989
840,17,17,0.986
841,14,14,0.9999
842,7,7,0.9906
843,5,5,0.9996
844,18,18,0.9973
845,12,12,0.9995
846,10,19,0.9803
847,8,8,1.0
848,7,17,0.9997
849,8,8,0.9989
850,16,7,0.9933
851,14,14,0.9991
852,16,16,0.9999
853,14,14,0.998
854,16,18,0.9968
855,10,10,0.9706
856,10,10,0.9945
857,7,7,0.9993
858,10,10,0.9995
859,19,19,0.9978
860,7,7,0.9922
861,18,16,0.6804
862,16,16,0.8628
863,19,19,0.9894
864,10,10,0.9993
865,16,18,0.6827
866,16,16,0.8891
867,8,8,0.9998
868,17,17,0.8396
869,16,16,0.9994
870,8,8,1.0
871,5,5,0.9645
872,10,19,0.6306
873,7,7,0.1901
874,18,18,0.9972
875,7,7,0.999
876,7,7,1.0
877,10,19,0.9984
878,7,7,1.0
879,19,19,0.7499
880,15,15,0.9994
881,7,7,0.8706
882,8,8,1.0
883,7,7,0.9995
884,17,17,0.9997
885,19,10,0.9802
886,10,10,0.9633
887,13,13,0.9999
888,17,17,0.9719
889,17,17,0.9976
890,8,8,0.9992
891,16,16,0.9997
892,19,19,0.996
893,17,17,0.996
894,19,19,0.99
895,8,8,1.0
896,18,18,0.9962
897,7,7,0.9976
898,19,10,0.987
899,5,5,0.9999
900,7,7,1.0
901,4,5,0.9979
902,14,14,0.9998
903,8,8,0.9998
904,15,15,0.9999
905,19,19,0.9329
906,7,7,0.9999
907,5,5,0.9993
908,19,19,0.9529
909,13,16,0.8753
910,7,17,0.5069
911,7,17,0.9507
912,8,8,0.9958
913,8,8,0.9998
914,10,19,0.9151
915,17,17,0.9403
916,7,7,0.9961
917,8,8,0.9998
918,7,7,0.994
919,10,10,0.9999
920,18,18,0.9576
921,17,17,0.9896
922,8,8,0.9986
923,8,8,1.0
924,19,19,0.9823
925,7,7,0.9997
926,5,17,0.2547
927,19,19,0.9243
928,5,5,1.0
929,10,10,0.9993
930,16,16,0.9999
931,7,7,1.0
932,19,10,0.9983
933,11,10,0.6221
934,11,11,0.9984
935,7,7,1.0
936,19,19,0.7027
