,predicted,real,prob
0,2,2,1.0
1,1,1,0.996
2,0,0,0.8872
3,5,5,0.9994
4,5,5,0.9982
5,5,5,0.9981
6,2,2,0.9238
7,4,4,0.7833
8,5,5,1.0
9,5,5,0.3147
10,5,5,1.0
11,2,2,1.0
12,5,5,0.9773
13,2,2,0.9999
14,2,2,0.9716
15,3,3,0.992
16,5,5,0.9992
17,2,1,0.2314
18,3,3,0.9987
19,5,5,1.0
20,2,2,0.9988
21,5,5,0.9999
22,2,2,1.0
23,5,5,0.947
24,4,4,1.0
25,5,5,1.0
26,5,4,0.9979
27,2,5,0.9943
28,5,2,0.4333
29,5,5,0.9576
30,4,4,0.9981
31,5,5,0.9998
32,1,0,0.9612
33,2,2,0.9954
34,2,2,1.0
35,2,2,1.0
36,2,2,0.9954
37,2,2,1.0
38,2,2,0.9999
39,5,5,0.9847
40,2,2,1.0
41,1,2,0.7629
42,3,3,0.9289
43,5,5,0.9935
44,5,5,0.7702
45,2,2,1.0
46,2,2,0.9966
47,3,3,0.9924
48,2,2,1.0
49,5,1,0.5486
50,5,5,0.97
51,5,5,0.7375
52,5,5,0.7281
53,5,5,0.9977
54,4,4,0.9995
55,2,2,1.0
56,3,3,0.997
57,4,4,0.9998
58,5,5,0.9562
59,2,2,0.9976
60,2,2,0.9994
61,5,5,0.9853
62,5,5,1.0
63,2,2,0.9764
64,2,2,0.9903
65,5,5,1.0
66,3,3,0.9975
67,2,2,1.0
68,4,4,0.9996
69,2,2,0.9998
70,2,2,1.0
71,5,2,0.9994
72,4,4,0.9727
73,1,1,0.9965
74,5,5,0.9999
75,5,5,1.0
76,2,2,1.0
77,5,5,0.9972
78,2,2,0.8588
79,2,5,0.9844
80,5,5,0.9374
81,5,5,0.9989
82,2,2,1.0
83,3,3,0.9934
84,4,5,0.478
85,0,5,0.6608
86,0,0,0.9989
87,2,2,1.0
88,2,2,0.9255
89,2,5,0.8228
90,2,2,0.9997
91,2,2,0.4601
92,0,0,0.9947
93,5,2,0.9957
94,2,5,0.9736
95,5,5,1.0
96,5,5,1.0
