,predicted,real,prob
0,1,1,0.6067
1,0,0,1.0
2,1,1,1.0
3,1,1,0.9914
4,0,0,1.0
5,0,0,1.0
6,1,1,0.9963
7,0,0,1.0
8,1,1,0.9995
9,0,0,0.9998
10,0,0,0.9994
11,0,0,0.9989
12,1,1,0.4992
13,1,0,0.6177
14,0,0,0.9823
15,0,0,0.9978
16,0,0,0.9995
17,1,1,0.6192
18,0,0,1.0
19,0,0,0.9982
20,1,1,1.0
21,0,0,0.9943
22,0,0,0.6971
23,1,1,0.9997
24,1,1,0.9968
25,1,1,0.9922
26,0,0,0.9981
27,0,0,0.9995
28,0,0,1.0
29,0,0,0.9983
30,0,0,0.9989
31,0,0,1.0
32,0,0,0.9998
33,0,0,0.9959
34,1,1,0.8456
35,1,1,0.9963
36,1,1,0.9967
37,1,1,1.0
38,1,1,0.9925
39,0,0,0.9996
40,1,1,0.9976
41,1,1,0.9241
42,0,0,1.0
43,0,0,0.9934
44,0,0,0.9826
45,0,0,1.0
46,0,0,0.9906
47,0,0,1.0
48,0,0,0.9983
49,0,0,1.0
50,0,0,0.9968
51,0,0,1.0
52,0,0,1.0
53,0,1,0.6444
54,0,0,0.6321
55,0,0,1.0
56,0,0,1.0
57,1,1,0.8298
58,0,0,1.0
59,1,1,0.9982
60,1,1,0.9974
61,0,0,0.9924
62,0,0,0.9973
63,0,0,1.0
64,0,0,0.9966
65,0,0,0.9943
66,0,0,1.0
67,1,1,0.9982
68,0,0,0.9971
69,1,1,0.9984
70,0,0,1.0
71,0,0,0.9947
72,0,0,0.9998
73,0,0,1.0
74,1,1,0.9992
75,0,0,1.0
76,0,0,0.9943
77,1,1,1.0
78,1,1,0.9996
79,0,0,1.0
80,0,0,0.9986
81,0,0,0.9916
82,0,0,0.9978
83,0,0,0.9966
84,0,0,0.9909
85,0,0,0.9859
86,0,0,1.0
87,0,0,1.0
88,0,0,1.0
89,0,0,0.9944
90,0,0,0.8036
91,0,0,1.0
92,0,0,0.9999
93,0,0,1.0
94,0,0,1.0
95,0,0,1.0
96,1,1,0.9947
97,1,1,0.5305
98,1,1,0.9924
99,0,0,0.9987
100,1,1,0.8414
101,0,0,0.9984
102,1,1,0.9731
103,0,0,1.0
