,predicted,real,prob
0,2,2,1
1,1,1,1
2,0,0,1
3,5,5,1
4,2,5,1
5,5,5,1
6,2,2,1
7,4,4,1
8,5,5,1
9,5,5,1
10,5,5,1
11,2,2,1
12,5,5,1
13,2,2,1
14,2,2,1
15,3,3,1
16,5,5,1
17,1,1,1
18,3,3,1
19,5,5,1
20,2,2,1
21,5,5,1
22,2,2,1
23,5,5,1
24,4,4,1
25,5,5,1
26,4,4,1
27,2,5,1
28,5,2,1
29,5,5,1
30,4,4,1
31,5,5,1
32,1,0,1
33,2,2,1
34,2,2,1
35,2,2,1
36,5,2,1
37,2,2,1
38,2,2,1
39,5,5,1
40,2,2,1
41,2,2,1
42,3,3,1
43,5,5,1
44,2,5,1
45,2,2,1
46,2,2,1
47,3,3,1
48,2,2,1
49,5,1,1
50,5,5,1
51,5,5,1
52,2,5,1
53,2,5,1
54,4,4,1
55,2,2,1
56,3,3,1
57,4,4,1
58,5,5,1
59,2,2,1
60,2,2,1
61,5,5,1
62,5,5,1
63,2,2,1
64,2,2,1
65,5,5,1
66,3,3,1
67,2,2,1
68,4,4,1
69,2,2,1
70,2,2,1
71,5,2,1
72,4,4,1
73,1,1,1
74,5,5,1
75,5,5,1
76,2,2,1
77,5,5,1
78,2,2,1
79,5,5,1
80,5,5,1
81,5,5,1
82,2,2,1
83,3,3,1
84,0,5,1
85,5,5,1
86,0,0,1
87,2,2,1
88,2,2,1
89,2,5,1
90,2,2,1
91,2,2,1
92,0,0,1
93,5,2,1
94,2,5,1
95,5,5,1
96,5,5,1
97,4,4,1
98,2,2,1
99,2,2,1
100,5,5,1
101,5,2,1
102,5,5,1
103,2,2,1
104,2,2,1
105,3,3,1
106,2,2,1
107,5,5,1
108,4,4,1
109,5,2,1
110,5,5,1
111,4,4,1
112,2,5,1
113,2,2,1
114,4,4,1
115,4,4,1
116,2,2,1
117,5,5,1
118,4,4,1
119,5,2,1
120,2,2,1
121,5,5,1
122,5,5,1
123,2,2,1
124,2,2,1
125,5,5,1
126,2,2,1
127,2,2,1
128,0,5,1
129,2,2,1
130,0,0,1
131,3,3,1
132,5,5,1
133,0,0,1
134,1,1,1
135,1,1,1
136,1,0,1
137,5,5,1
138,5,5,1
139,5,5,1
140,5,5,1
