,predicted,real,prob
0,1,1,1
1,0,0,1
2,1,1,1
3,1,1,1
4,0,0,1
5,0,0,1
6,1,1,1
7,0,0,1
8,1,1,1
9,0,0,1
10,0,0,1
11,0,0,1
12,1,1,1
13,1,0,1
14,0,0,1
15,0,0,1
16,0,0,1
17,1,1,1
18,0,0,1
19,0,0,1
20,1,1,1
21,0,0,1
22,0,0,1
23,1,1,1
24,1,1,1
25,1,1,1
26,0,0,1
27,0,0,1
28,0,0,1
29,0,0,1
30,0,0,1
31,0,0,1
32,0,0,1
33,0,0,1
34,1,1,1
35,1,1,1
36,1,1,1
37,1,1,1
38,1,1,1
39,0,0,1
40,1,1,1
41,1,1,1
42,0,0,1
43,0,0,1
44,0,0,1
45,0,0,1
46,0,0,1
47,0,0,1
48,0,0,1
49,0,0,1
50,0,0,1
51,0,0,1
52,0,0,1
53,1,1,1
54,0,0,1
55,0,0,1
56,0,0,1
57,1,1,1
58,0,0,1
59,1,1,1
60,1,1,1
61,0,0,1
62,0,0,1
63,0,0,1
64,0,0,1
65,0,0,1
66,0,0,1
67,1,1,1
68,0,0,1
69,1,1,1
70,0,0,1
71,0,0,1
72,0,0,1
73,0,0,1
74,1,1,1
75,0,0,1
76,0,0,1
77,1,1,1
78,1,1,1
79,0,0,1
80,0,0,1
81,0,0,1
82,0,0,1
83,0,0,1
84,0,0,1
85,0,0,1
86,1,0,1
87,0,0,1
88,0,0,1
89,0,0,1
90,0,0,1
91,0,0,1
92,0,0,1
93,0,0,1
94,0,0,1
95,0,0,1
96,1,1,1
97,1,1,1
98,0,1,1
99,0,0,1
100,1,1,1
101,0,0,1
102,1,1,1
103,0,0,1
104,1,1,1
105,0,0,1
106,0,0,1
107,0,0,1
108,0,0,1
109,0,0,1
110,0,0,1
111,0,0,1
112,1,0,1
113,0,0,1
114,0,0,1
115,0,0,1
116,1,1,1
117,1,1,1
118,1,1,1
119,1,1,1
120,0,0,1
121,0,0,1
122,1,1,1
123,1,1,1
124,0,0,1
125,1,0,1
126,0,0,1
127,1,1,1
128,0,0,1
129,0,0,1
130,0,0,1
131,0,0,1
132,1,1,1
133,1,1,1
134,0,0,1
135,0,0,1
136,0,0,1
137,0,0,1
138,1,1,1
139,0,0,1
140,0,0,1
141,1,1,1
142,0,0,1
143,1,1,1
144,1,1,1
145,0,0,1
146,0,0,1
147,1,1,1
148,1,1,1
149,1,1,1
150,0,0,1
151,1,1,1
152,1,1,1
153,0,0,1
154,0,0,1
155,0,0,1
156,0,0,1
157,0,0,1
158,0,0,1
159,0,0,1
160,0,0,1
161,1,1,1
162,1,1,1
163,0,0,1
164,0,0,1
165,0,0,1
166,0,0,1
167,0,0,1
168,0,0,1
169,1,1,1
170,0,0,1
171,1,1,1
172,0,0,1
173,0,0,1
174,0,0,1
175,0,0,1
176,1,1,1
177,0,0,1
178,0,0,1
179,0,0,1
180,0,0,1
181,0,0,1
182,0,0,1
183,0,0,1
184,0,0,1
185,1,1,1
186,0,0,1
187,0,0,1
188,0,0,1
189,0,0,1
190,1,1,1
191,0,0,1
192,0,0,1
193,1,1,1
194,0,0,1
195,1,1,1
196,0,0,1
197,0,0,1
198,1,1,1
199,0,0,1
200,0,0,1
201,1,1,1
202,1,1,1
203,0,0,1
204,0,0,1
205,0,0,1
206,0,0,1
207,1,1,1
208,0,0,1
209,0,0,1
210,0,0,1
211,0,0,1
212,1,1,1
213,0,0,1
214,1,1,1
215,0,0,1
216,0,0,1
217,0,0,1
218,0,0,1
219,0,0,1
220,0,0,1
221,1,1,1
222,1,1,1
223,1,1,1
224,0,1,1
225,0,0,1
226,1,1,1
227,1,1,1
228,1,1,1
229,0,0,1
230,1,1,1
231,1,1,1
232,1,1,1
233,0,0,1
234,1,1,1
235,0,0,1
236,0,0,1
237,0,0,1
238,1,1,1
239,0,0,1
240,0,0,1
241,1,1,1
242,0,0,1
243,0,0,1
244,0,0,1
245,0,0,1
246,0,0,1
247,0,0,1
248,0,0,1
249,0,0,1
250,0,0,1
251,0,0,1
252,0,0,1
253,0,1,1
254,0,0,1
255,1,1,1
256,0,0,1
257,0,0,1
258,1,1,1
259,0,0,1
260,0,0,1
261,0,0,1
262,0,0,1
263,0,0,1
264,1,1,1
265,1,1,1
266,0,0,1
267,0,0,1
268,1,1,1
269,0,0,1
270,0,0,1
271,1,1,1
272,1,1,1
273,0,0,1
274,0,0,1
275,1,1,1
276,0,0,1
277,0,0,1
278,0,0,1
279,0,0,1
280,0,0,1
281,0,0,1
282,0,0,1
283,0,0,1
284,0,0,1
285,0,0,1
286,1,1,1
287,0,0,1
288,0,0,1
289,1,1,1
290,0,0,1
291,1,1,1
292,0,0,1
293,0,0,1
294,0,0,1
295,0,0,1
296,1,1,1
297,0,0,1
298,0,0,1
299,0,0,1
300,0,0,1
301,1,1,1
302,0,0,1
303,0,0,1
304,1,0,1
305,1,1,1
306,0,0,1
307,0,0,1
308,0,0,1
309,0,0,1
310,1,1,1
311,0,0,1
312,0,0,1
313,0,0,1
314,0,0,1
315,0,0,1
316,1,1,1
317,0,0,1
318,1,1,1
319,0,0,1
320,0,0,1
321,0,0,1
322,0,0,1
323,0,0,1
324,1,0,1
325,0,0,1
326,0,0,1
327,0,0,1
328,0,0,1
329,0,0,1
330,0,0,1
331,0,0,1
332,0,0,1
333,0,0,1
334,0,0,1
335,0,0,1
336,1,1,1
337,0,0,1
338,0,0,1
339,1,1,1
340,0,0,1
341,0,0,1
342,0,0,1
343,0,0,1
344,0,0,1
345,0,0,1
346,0,0,1
347,0,0,1
348,1,0,1
349,0,0,1
350,1,1,1
351,1,1,1
352,0,0,1
353,1,1,1
354,0,0,1
355,0,0,1
356,0,0,1
357,0,0,1
358,0,0,1
359,0,0,1
360,0,0,1
361,1,1,1
362,0,0,1
363,1,1,1
364,1,1,1
365,0,0,1
366,0,0,1
367,1,1,1
368,0,0,1
369,0,0,1
370,0,0,1
371,0,0,1
372,0,0,1
373,1,1,1
374,0,0,1
375,1,1,1
376,0,0,1
377,0,0,1
378,0,0,1
379,0,0,1
380,0,0,1
381,1,1,1
382,1,1,1
383,0,0,1
384,0,0,1
385,1,1,1
386,0,0,1
387,0,0,1
388,1,1,1
389,0,0,1
390,0,0,1
391,0,0,1
392,0,0,1
393,0,0,1
394,0,0,1
395,0,0,1
396,0,0,1
397,0,0,1
398,0,0,1
399,0,0,1
400,1,1,1
401,0,0,1
402,0,0,1
403,0,0,1
404,0,0,1
405,0,0,1
406,0,0,1
407,0,0,1
408,0,0,1
409,0,0,1
410,1,1,1
411,1,1,1
412,0,0,1
413,1,1,1
414,0,0,1
415,0,0,1
416,0,0,1
417,0,0,1
418,0,0,1
419,0,0,1
420,0,0,1
421,1,1,1
422,0,0,1
423,0,0,1
424,0,0,1
425,0,0,1
426,0,0,1
427,1,1,1
428,1,1,1
429,0,0,1
430,0,0,1
431,1,1,1
432,0,0,1
433,1,1,1
434,0,0,1
435,0,0,1
436,0,0,1
437,0,0,1
438,0,0,1
439,0,0,1
440,1,1,1
441,1,1,1
442,0,0,1
443,0,0,1
444,0,0,1
445,0,0,1
446,0,0,1
447,0,0,1
448,0,0,1
449,0,0,1
450,1,1,1
451,0,0,1
452,0,0,1
453,0,0,1
454,1,1,1
455,0,0,1
456,0,0,1
457,0,0,1
458,0,0,1
459,1,1,1
460,0,0,1
461,0,0,1
462,0,0,1
463,0,0,1
464,0,0,1
465,0,0,1
466,0,0,1
467,1,1,1
468,1,1,1
469,0,0,1
470,0,0,1
471,0,0,1
472,1,1,1
473,0,0,1
474,0,0,1
475,0,0,1
476,1,1,1
477,1,1,1
478,1,1,1
479,0,0,1
480,1,1,1
481,1,1,1
482,0,0,1
483,0,0,1
484,1,1,1
485,0,0,1
486,0,0,1
487,0,0,1
488,1,1,1
489,0,0,1
490,1,1,1
491,0,0,1
492,0,0,1
493,0,0,1
494,1,1,1
495,0,0,1
496,0,0,1
497,1,1,1
498,0,0,1
499,0,0,1
500,0,0,1
501,0,0,1
502,0,0,1
503,0,0,1
504,0,0,1
505,0,0,1
506,0,0,1
507,0,0,1
508,0,0,1
509,0,0,1
510,0,0,1
511,1,1,1
512,1,1,1
513,0,0,1
514,0,0,1
515,1,1,1
516,1,1,1
517,0,0,1
518,1,1,1
519,1,1,1
520,0,0,1
521,0,0,1
522,1,0,1
523,1,1,1
524,0,0,1
525,0,0,1
526,0,0,1
527,1,1,1
528,1,1,1
529,1,1,1
530,1,1,1
531,0,0,1
532,0,0,1
533,1,1,1
534,0,0,1
535,0,0,1
536,0,0,1
537,0,0,1
538,0,0,1
539,0,0,1
540,1,1,1
541,1,1,1
542,0,0,1
543,0,0,1
544,1,1,1
545,0,0,1
546,0,0,1
547,0,0,1
548,1,1,1
549,1,1,1
550,0,0,1
551,0,0,1
552,0,0,1
553,1,1,1
554,0,0,1
555,1,1,1
556,0,0,1
557,0,0,1
558,0,0,1
559,0,0,1
560,0,0,1
561,0,0,1
562,0,0,1
563,0,0,1
564,0,0,1
565,0,0,1
566,0,0,1
567,0,0,1
568,0,0,1
569,1,1,1
570,0,0,1
571,1,1,1
572,0,0,1
573,1,1,1
574,1,1,1
575,0,0,1
576,0,0,1
577,1,1,1
578,0,0,1
579,1,1,1
580,1,1,1
581,1,0,1
582,0,0,1
583,0,0,1
584,1,1,1
585,1,1,1
586,0,0,1
587,0,0,1
588,0,0,1
589,0,0,1
590,0,0,1
591,0,1,1
592,0,0,1
593,0,0,1
594,1,1,1
595,0,0,1
596,0,0,1
597,1,1,1
598,1,1,1
599,1,1,1
600,1,1,1
601,0,0,1
602,1,1,1
603,0,0,1
604,1,1,1
605,0,0,1
606,0,0,1
607,0,0,1
608,0,0,1
609,0,0,1
610,0,0,1
611,1,1,1
612,1,1,1
613,0,0,1
614,1,1,1
615,0,0,1
616,1,1,1
617,0,0,1
618,0,0,1
619,0,0,1
620,0,0,1
621,0,0,1
622,0,0,1
623,0,0,1
624,0,0,1
625,0,0,1
626,0,0,1
627,1,1,1
628,0,0,1
629,1,1,1
630,0,0,1
631,0,0,1
632,0,0,1
633,1,1,1
634,1,0,1
635,0,0,1
636,1,1,1
637,1,1,1
638,1,1,1
639,1,1,1
640,0,1,1
641,0,0,1
642,0,0,1
643,0,0,1
644,1,1,1
645,0,0,1
646,0,0,1
647,0,0,1
648,0,0,1
649,0,0,1
650,0,0,1
651,1,1,1
652,0,0,1
653,0,0,1
654,0,0,1
655,0,0,1
656,0,1,1
657,1,1,1
658,1,1,1
659,0,0,1
660,1,1,1
661,0,0,1
662,0,0,1
663,0,0,1
664,1,1,1
665,0,0,1
666,1,1,1
667,1,1,1
668,0,0,1
669,0,0,1
670,0,0,1
671,0,0,1
672,0,0,1
673,1,1,1
674,0,0,1
675,1,1,1
676,0,0,1
677,0,0,1
678,0,0,1
679,0,0,1
680,0,0,1
681,0,0,1
682,0,0,1
683,1,1,1
684,0,0,1
685,0,0,1
686,1,1,1
687,0,1,1
688,0,0,1
689,0,0,1
690,0,0,1
691,0,0,1
692,0,0,1
693,1,1,1
694,0,0,1
695,1,1,1
696,0,0,1
697,1,1,1
698,0,0,1
699,1,1,1
700,1,1,1
701,0,0,1
702,0,0,1
703,0,0,1
704,0,0,1
705,0,0,1
706,0,0,1
707,0,0,1
708,0,0,1
709,0,0,1
710,1,1,1
711,0,0,1
712,1,1,1
713,1,1,1
714,0,0,1
715,0,0,1
716,0,0,1
717,0,0,1
718,0,0,1
719,1,1,1
720,1,1,1
721,0,0,1
722,0,0,1
723,1,1,1
724,0,0,1
725,1,0,1
726,1,1,1
727,1,1,1
728,0,0,1
729,0,0,1
730,0,0,1
731,0,0,1
732,0,0,1
733,0,0,1
734,1,1,1
735,0,0,1
736,0,0,1
737,0,0,1
738,0,0,1
739,0,0,1
740,0,0,1
741,0,0,1
742,0,0,1
743,0,0,1
744,0,0,1
745,0,0,1
746,0,0,1
747,1,1,1
748,0,0,1
749,1,1,1
750,0,0,1
751,0,0,1
752,0,0,1
753,0,0,1
754,1,1,1
755,0,0,1
756,0,0,1
757,0,0,1
758,0,0,1
759,0,0,1
760,0,0,1
761,0,0,1
762,0,0,1
763,0,0,1
764,0,0,1
765,0,0,1
766,0,0,1
767,0,0,1
768,0,0,1
769,0,0,1
770,1,1,1
771,0,0,1
772,0,0,1
773,0,0,1
774,1,1,1
775,0,0,1
776,0,0,1
777,0,0,1
778,0,0,1
779,0,0,1
780,0,0,1
781,1,1,1
782,0,0,1
783,1,0,1
784,0,0,1
785,0,0,1
786,0,0,1
787,1,1,1
788,1,1,1
789,1,1,1
790,0,0,1
791,0,1,1
792,0,0,1
793,0,0,1
794,1,1,1
795,0,1,1
796,0,0,1
797,0,0,1
798,1,1,1
799,0,0,1
800,0,0,1
801,1,1,1
802,0,0,1
803,1,1,1
804,1,0,1
805,1,1,1
806,0,0,1
807,0,0,1
808,0,0,1
809,0,0,1
810,0,0,1
811,0,0,1
812,1,1,1
813,0,0,1
814,1,1,1
815,0,0,1
816,1,1,1
817,0,0,1
818,0,0,1
819,1,1,1
820,0,0,1
821,0,0,1
822,0,0,1
823,0,0,1
824,0,0,1
825,1,1,1
826,0,0,1
827,0,0,1
828,0,0,1
829,0,0,1
830,1,1,1
831,0,0,1
832,0,0,1
833,0,0,1
834,0,0,1
835,0,0,1
836,1,0,1
837,0,0,1
838,0,0,1
839,0,0,1
840,0,0,1
841,1,1,1
842,0,0,1
843,1,1,1
844,1,1,1
845,1,1,1
846,1,1,1
847,1,1,1
848,0,0,1
849,0,0,1
850,1,1,1
851,0,0,1
852,0,0,1
853,0,0,1
854,1,1,1
855,1,1,1
856,0,0,1
857,1,1,1
858,0,0,1
859,1,1,1
860,1,1,1
861,0,0,1
862,0,0,1
863,1,1,1
864,1,1,1
865,0,0,1
866,1,1,1
867,0,0,1
868,0,0,1
869,1,0,1
870,0,0,1
871,0,0,1
872,0,0,1
873,0,0,1
874,0,0,1
875,0,0,1
876,0,0,1
877,0,0,1
878,0,0,1
879,0,0,1
880,0,0,1
881,0,0,1
882,1,1,1
883,0,0,1
884,0,0,1
885,1,1,1
886,0,0,1
887,0,0,1
888,0,0,1
889,0,0,1
890,0,0,1
891,1,1,1
892,0,0,1
893,1,1,1
894,1,1,1
895,1,1,1
896,0,0,1
897,0,0,1
898,0,0,1
899,0,0,1
900,1,1,1
901,0,0,1
902,1,1,1
903,1,1,1
904,1,1,1
905,0,0,1
906,0,0,1
907,0,0,1
908,0,0,1
909,0,0,1
910,0,0,1
911,0,0,1
912,1,1,1
913,0,0,1
914,1,1,1
915,1,1,1
916,1,1,1
917,1,1,1
918,0,0,1
919,1,1,1
920,0,0,1
921,0,0,1
922,0,0,1
923,0,0,1
924,0,0,1
925,0,0,1
926,0,0,1
927,1,1,1
928,1,1,1
929,1,1,1
930,0,0,1
931,1,1,1
932,0,0,1
933,0,0,1
934,1,1,1
935,1,1,1
936,0,0,1
937,0,0,1
938,1,1,1
939,0,0,1
940,0,0,1
941,0,0,1
942,1,1,1
943,1,1,1
944,1,1,1
945,0,0,1
946,0,0,1
947,0,0,1
948,0,0,1
949,0,0,1
950,0,0,1
951,1,1,1
952,1,1,1
953,0,0,1
954,0,0,1
955,0,0,1
956,1,1,1
957,0,0,1
958,0,0,1
959,1,1,1
960,0,0,1
961,1,1,1
962,0,0,1
963,0,0,1
964,0,0,1
965,1,1,1
966,1,1,1
967,1,1,1
968,1,1,1
969,0,0,1
970,1,1,1
971,1,1,1
972,0,0,1
973,0,0,1
974,0,0,1
975,1,1,1
976,0,0,1
977,0,0,1
978,0,0,1
979,0,0,1
980,1,1,1
981,1,1,1
982,0,0,1
983,0,0,1
984,0,0,1
985,0,0,1
986,0,0,1
987,0,0,1
988,0,0,1
989,0,0,1
990,0,0,1
991,0,0,1
992,0,0,1
993,0,0,1
994,0,0,1
995,1,1,1
996,1,1,1
997,0,0,1
998,1,1,1
999,1,1,1
1000,0,0,1
1001,0,0,1
1002,1,1,1
1003,1,1,1
1004,0,0,1
1005,0,0,1
1006,0,0,1
1007,1,1,1
1008,1,1,1
1009,0,0,1
1010,0,0,1
1011,1,1,1
1012,0,0,1
1013,0,0,1
1014,0,0,1
1015,0,0,1
1016,0,0,1
1017,0,0,1
1018,0,0,1
1019,0,0,1
1020,0,0,1
1021,0,0,1
1022,1,1,1
1023,0,0,1
1024,1,1,1
1025,1,1,1
1026,1,1,1
1027,0,0,1
1028,1,1,1
1029,0,0,1
1030,0,0,1
1031,1,1,1
1032,1,0,1
1033,0,0,1
1034,1,1,1
1035,0,0,1
1036,1,1,1
1037,1,1,1
1038,0,0,1
1039,0,0,1
1040,1,1,1
1041,0,0,1
1042,0,0,1
1043,0,0,1
1044,1,1,1
1045,0,0,1
1046,0,0,1
1047,1,1,1
1048,0,0,1
1049,0,0,1
1050,0,0,1
1051,1,1,1
1052,1,1,1
1053,1,1,1
1054,1,1,1
1055,0,0,1
1056,0,0,1
1057,0,0,1
1058,0,0,1
1059,0,0,1
1060,1,1,1
1061,1,1,1
1062,0,0,1
1063,1,1,1
1064,0,0,1
1065,0,0,1
1066,1,1,1
1067,1,1,1
1068,1,1,1
1069,1,1,1
1070,0,0,1
1071,0,0,1
1072,0,0,1
1073,0,0,1
1074,0,0,1
1075,0,0,1
1076,0,0,1
1077,0,0,1
1078,1,1,1
1079,1,1,1
1080,0,0,1
1081,1,1,1
1082,1,1,1
1083,1,1,1
1084,0,0,1
1085,0,0,1
1086,1,1,1
1087,1,1,1
1088,1,0,1
1089,0,0,1
1090,1,1,1
1091,0,0,1
1092,0,0,1
1093,1,0,1
1094,0,0,1
1095,1,1,1
1096,1,1,1
1097,0,0,1
1098,0,0,1
1099,1,1,1
1100,1,1,1
1101,0,0,1
1102,0,0,1
1103,0,0,1
1104,0,0,1
1105,0,0,1
1106,0,0,1
1107,0,0,1
1108,1,1,1
1109,0,0,1
1110,1,1,1
1111,0,0,1
1112,1,1,1
1113,1,1,1
1114,0,1,1
1115,0,0,1
1116,1,1,1
1117,0,0,1
1118,1,0,1
1119,0,0,1
1120,0,0,1
1121,1,1,1
1122,1,1,1
1123,1,1,1
1124,1,1,1
1125,1,1,1
1126,0,0,1
1127,1,1,1
1128,1,1,1
1129,1,1,1
1130,0,0,1
1131,1,0,1
1132,0,0,1
1133,0,0,1
1134,0,0,1
1135,0,0,1
1136,0,0,1
1137,0,0,1
1138,0,0,1
1139,0,0,1
1140,0,0,1
1141,1,1,1
1142,0,0,1
1143,1,1,1
1144,1,1,1
1145,0,0,1
1146,0,0,1
1147,0,0,1
1148,1,1,1
1149,0,0,1
1150,0,0,1
1151,1,1,1
1152,0,0,1
1153,0,0,1
1154,1,1,1
1155,1,1,1
1156,1,0,1
1157,0,0,1
1158,0,0,1
1159,0,0,1
1160,0,0,1
1161,0,0,1
1162,0,0,1
