,predicted,real,prob
0,8,8,0.99932253
1,18,18,0.99434835
2,17,17,0.98326045
3,19,19,0.9978563
4,17,17,0.6705452
5,7,7,0.9858601
6,19,19,0.87974805
7,11,11,0.93771124
8,7,7,0.9814161
9,19,19,0.96909374
10,19,10,0.6004814
11,5,5,0.9941672
12,10,10,0.99729794
13,8,8,0.99945
14,7,7,0.9996252
15,5,5,0.99914277
16,4,16,0.9760716
17,18,18,0.99612135
18,14,14,0.99799854
19,7,7,0.96058375
20,10,19,0.5423962
21,18,18,0.99931014
22,16,16,0.99189246
23,10,10,0.99698645
24,19,10,0.52651006
25,7,7,0.99942327
26,5,5,0.9814317
27,5,5,0.9910313
28,17,7,0.79128194
29,18,18,0.9987993
30,19,19,0.8776862
31,17,17,0.9914506
32,7,7,0.9991454
33,7,7,0.87439346
34,15,19,0.49732485
35,5,5,0.99909556
36,19,19,0.7682719
37,19,10,0.8527782
38,8,8,0.9997378
39,19,19,0.446391
40,11,11,0.99966216
41,15,15,0.9938461
42,17,17,0.52908254
43,10,10,0.9851714
44,15,15,0.9988611
45,10,19,0.8411615
46,16,16,0.98786575
47,16,16,0.9887875
48,17,17,0.9948496
49,7,7,0.99959904
50,5,5,0.9986117
51,10,10,0.7171527
52,7,7,0.68403953
53,8,8,0.9992536
54,17,7,0.43406224
55,7,7,0.99889755
56,8,8,0.9988287
57,19,19,0.8265543
58,8,8,0.99913824
59,18,18,0.9836753
60,15,15,0.9981345
61,8,8,0.9983217
62,18,18,0.96392465
63,17,17,0.79140687
64,16,16,0.9922024
65,19,10,0.8569367
66,18,16,0.6763945
67,10,10,0.9441015
68,17,18,0.984812
69,10,10,0.97895277
70,7,7,0.96668506
71,14,14,0.99870193
72,8,8,0.999054
73,19,19,0.7512301
74,18,18,0.9983516
75,16,16,0.99724483
76,10,19,0.74156874
77,19,19,0.59467787
78,7,7,0.9994548
79,7,7,0.9914657
80,6,7,0.5859382
81,5,5,0.9677151
82,8,8,0.9994103
83,19,10,0.7742168
84,7,7,0.968999
85,17,17,0.95128113
86,19,19,0.8838052
87,17,17,0.9165699
88,15,15,0.9988475
89,7,7,0.9997794
90,7,7,0.99845564
91,5,5,0.993093
92,10,19,0.57966983
93,19,19,0.99568176
94,7,7,0.9998252
95,8,8,0.9997676
96,7,7,0.9972351
97,18,18,0.99862754
98,8,8,0.999783
99,11,11,0.99649847
100,7,7,0.9996779
101,7,7,0.99941635
102,7,7,0.994921
103,19,19,0.82844156
104,19,19,0.86343735
105,19,19,0.72332084
106,14,14,0.9971238
107,7,7,0.8516716
108,17,7,0.50808597
109,19,19,0.9941871
110,4,4,0.69492126
111,7,7,0.9993894
112,4,1,0.29109034
113,7,7,0.999086
114,11,11,0.9966852
115,4,4,0.915105
116,17,17,0.87315613
117,5,5,0.8194476
118,7,7,0.95999926
119,17,17,0.986368
120,7,7,0.9993924
121,4,5,0.58012307
122,11,11,0.89126664
123,10,10,0.5246716
124,8,8,0.99966717
125,6,17,0.54727936
126,8,8,0.99985385
127,7,7,0.9917
128,7,7,0.6895469
129,18,18,0.9651712
130,19,10,0.92484903
131,13,13,0.9966403
132,17,17,0.5765884
133,7,7,0.99933857
134,19,19,0.8772789
135,10,19,0.8627311
136,17,17,0.9985291
137,7,7,0.9997582
138,4,4,0.67339814
139,5,5,0.9982925
140,10,19,0.29972473
141,17,17,0.98494315
142,10,10,0.93657154
143,8,8,0.99947554
144,19,19,0.6719993
145,19,19,0.91789186
146,15,15,0.998749
147,7,18,0.60319406
148,19,10,0.5504291
149,0,2,0.86890113
150,19,19,0.79832613
151,19,10,0.6263679
152,2,2,0.9250401
153,17,7,0.77664614
154,11,11,0.9992101
155,7,7,0.9941836
156,17,17,0.77329737
157,17,17,0.97786623
158,7,7,0.9522995
159,19,19,0.93940294
160,10,10,0.5934584
161,11,11,0.7871428
162,19,10,0.7660406
163,7,7,0.9980141
164,8,8,0.9996656
165,7,7,0.9956624
166,8,8,0.9993693
167,19,19,0.69049925
168,16,16,0.98525244
169,18,18,0.9994062
170,7,7,0.99845695
171,7,7,0.9995963
172,15,15,0.9987148
173,7,7,0.99945205
174,7,7,0.9987369
175,5,5,0.9880112
176,4,4,0.8743265
177,16,16,0.9666477
178,8,8,0.9981742
